Region,Proclaimed Magisterial District,Court Type,Office Name,Previously known as,Also known as,Equality Court,Small Claims Court,Sexual Offence Court,Mediation Services,telephone,fax,postal_adress,adress,GPS
"[<span class=""officecolor"">Region:</span>, ' Western Cape']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>]","[<span class=""officecolor"">Court Type: </span>, 'Periodical Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">McGregor</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, ' ']","[<span class=""officecolor"">Small Claims Court: </span>]","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, 'See Robertson']","[<span class=""officecolor"">Fax: </span>]","[<span class=""officecolor"">Postal Address: </span>]","[<span class=""officecolor"">Physical Address: </span>, ' ']","[<span class=""officecolor"">GPS Coordinates: </span>, ' ']"
"[<span class=""officecolor"">Region:</span>, ' Eastern Cape']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Mdantsane']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Mdantsane</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '043-7085000']","[<span class=""officecolor"">Fax: </span>, '043 761 6651']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag x 006, Mdantsane 5219']","[<span class=""officecolor"">Physical Address: </span>, 'Mazawule N1, Mdantsane 5219\t']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 27.77629; S -32.94659\t']"
"[<span class=""officecolor"">Region:</span>, ' Gauteng']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Soweto']","[<span class=""officecolor"">Court Type: </span>, 'Branch Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Meadowlands</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes (Sessions Only)']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '011 536 0555']","[<span class=""officecolor"">Fax: </span>, '011 536 2382']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X1, Johannesburg 2000']","[<span class=""officecolor"">Physical Address: </span>, 'Heckroodt Cir, Meadowlands East, 1852\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-26.22093; 27.89793\t']"
"[<span class=""officecolor"">Region:</span>, ' Limpopo']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>]","[<span class=""officecolor"">Court Type: </span>, 'Branch Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Mecklenburg</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'No']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '013 216 1091']","[<span class=""officecolor"">Fax: </span>, '013 216 1730']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X1013, Burgersfort 1150']","[<span class=""officecolor"">Physical Address: </span>, 'R37, SAPS Moroke\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-24.38702; 30.07393\t']"
"[<span class=""officecolor"">Region:</span>, ' KwaZulu-Natal']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Mtonjaneni']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Melmoth</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '035 450 2094/2007']","[<span class=""officecolor"">Fax: </span>, '035 450 3002']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X835, Melmoth 3835']","[<span class=""officecolor"">Physical Address: </span>, '25 Reinhold Street, Melmoth 3835\t']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 31.40119; S -28.59116\t']"
"[<span class=""officecolor"">Region:</span>, ' Free State']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Memel']","[<span class=""officecolor"">Court Type: </span>, 'Periodical Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Memel</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '058 924 0001']","[<span class=""officecolor"">Fax: </span>, '058 924 0266']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X01, Memel 2970']","[<span class=""officecolor"">Physical Address: </span>, '6 Knipe Street, Memel 2970\t']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 29.56714; S -27.68146\t']"
"[<span class=""officecolor"">Region:</span>, ' Western Cape']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>]","[<span class=""officecolor"">Court Type: </span>, 'Periodical Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Merweville</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'No']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '023 415 1787']","[<span class=""officecolor"">Fax: </span>, '023 414 4658']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X545, Beaufort West 6970']","[<span class=""officecolor"">Physical Address: </span>, 'Voortrekker Street, Merweville\t']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 21.51898; S -32.66249\t']"
"[<span class=""officecolor"">Region:</span>, ' Gauteng']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Midvall']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Meyerton</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '016 362 0403']","[<span class=""officecolor"">Fax: </span>, '016 362 3514']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X1004, Meyerton\xa01960']","[<span class=""officecolor"">Physical Address: </span>, 'Cnr Fenton & Kruger Street, Meyerton\xa01960\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-26.555253; 28.014649\t']"
"[<span class=""officecolor"">Region:</span>, ' KwaZulu-Natal']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>]","[<span class=""officecolor"">Court Type: </span>, 'Periodical Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Mid-Illovo</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'No']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '033 212 2114/2115']","[<span class=""officecolor"">Fax: </span>, '033 212 2790']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X1006, Richmond 3780']","[<span class=""officecolor"">Physical Address: </span>, 'Main Road, Mid-Illovo\t']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 30.50502; S -29.97061\t']"
"[<span class=""officecolor"">Region:</span>, ' Eastern Cape']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Middelburg [EC]']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Middelburg [EC]</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '049 842 1555']","[<span class=""officecolor"">Fax: </span>, '049 842 3423']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag x 503, Middelburg 5900']","[<span class=""officecolor"">Physical Address: </span>, '40 Loop Street, Middelburg 5900\t']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 25.00437; S -31.49658\t']"
"[<span class=""officecolor"">Region:</span>, ' Mpumalanga']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Middelburg']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Middelburg [MP]</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>, 'Yes']","[<span class=""officecolor"">Tel: </span>, '013 283 7500']","[<span class=""officecolor"">Fax: </span>, '013 282 5377']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X1804, Middelburg 1050']","[<span class=""officecolor"">Physical Address: </span>, '16 Dr Beyers Naude Street, Middelburg 1050\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-25.76177; 29.45718\t']"
"[<span class=""officecolor"">Region:</span>, ' Eastern Cape']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Middledrift']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Middledrift</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '040 657 3005']","[<span class=""officecolor"">Fax: </span>, '040 657 3034']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag x 03, Middledrift 5685']","[<span class=""officecolor"">Physical Address: </span>, 'Cnr Mangconde & Mkwayi Streets, Middledrift 5685\t']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 26.98973; S -32.81943\t']"
"[<span class=""officecolor"">Region:</span>, ' Gauteng']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>]","[<span class=""officecolor"">Court Type: </span>, 'Branch Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Midrand</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'No']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '011 805 1906']","[<span class=""officecolor"">Fax: </span>, '011 805 5044']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X3005, Randburg 2125']","[<span class=""officecolor"">Physical Address: </span>, 'Cnr old Pretoria Road & North Street, Midrand\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-25.99721; 28.12795\t']"
"[<span class=""officecolor"">Region:</span>, ' Western Cape']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Mitchells Plain']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Mitchells Plain</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>, 'Yes']","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '021 370 4200/ 4244']","[<span class=""officecolor"">Fax: </span>, '021 391 3063/ 392 5075']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X1, Mitchells Plain 7789']","[<span class=""officecolor"">Physical Address: </span>, '1st Avenue, East Ridge, Mitchells Plain 7785\t']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 18.52404; S -34.0482\t']"
"[<span class=""officecolor"">Region:</span>, ' Mpumalanga']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Mankweng, Mapulaneng, Mhala']","[<span class=""officecolor"">Court Type: </span>, 'Branch Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Mkhuhlu</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes (Sessions Only)']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '013 773 0431/0335']","[<span class=""officecolor"">Fax: </span>, '013 773 0430']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X1312, Thulamahashe 1365']","[<span class=""officecolor"">Physical Address: </span>, 'Calcutta Police Station, Mkhuhlu\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-24.98733; 31.24365\t']"
"[<span class=""officecolor"">Region:</span>, ' North West']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Mahikeng']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Mmabatho</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2"">Mafikeng</span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>, 'Yes']","[<span class=""officecolor"">Mediation Services: </span>, 'Yes']","[<span class=""officecolor"">Tel: </span>, '018 387 8000']","[<span class=""officecolor"">Fax: </span>, '018 384 3594']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X2045, Mmabatho 2735']","[<span class=""officecolor"">Physical Address: </span>, 'University Drive,\xa0 Mmabatho 2735\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-25.837015; 25.608403\t']"
"[<span class=""officecolor"">Region:</span>, ' Northern Cape']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>]","[<span class=""officecolor"">Court Type: </span>, 'Periodical Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Modder River</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'No']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '053 839 9100']","[<span class=""officecolor"">Fax: </span>, '053 833 2576/ 832 7404']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X5014, Kimberley, 8300']","[<span class=""officecolor"">Physical Address: </span>, '3 Stasie Street, Modderrivier\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-29.03226; 24.62946\t']"
"[<span class=""officecolor"">Region:</span>, ' Limpopo']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Waterberg']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Modimolle</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2"">Nylstroom</span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>, 'Yes']","[<span class=""officecolor"">Tel: </span>, '014 717 5316']","[<span class=""officecolor"">Fax: </span>, '014 717 5369']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X1011, Modimolle 0510']","[<span class=""officecolor"">Physical Address: </span>, 'Cnr Van Emmenis & Dr J S Moroka Street, Modimolle 0510\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-24.70482; 28.40787\t']"
"[<span class=""officecolor"">Region:</span>, ' Limpopo']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>]","[<span class=""officecolor"">Court Type: </span>, 'Periodical Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Modjadjiskloof</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2"">Duiwelskloof</span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'No']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '015 307 3770']","[<span class=""officecolor"">Fax: </span>, '015 307 4163']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X4010, Tzaneen 0850']","[<span class=""officecolor"">Physical Address: </span>, 'Botha Street, Modjadjiskloof\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-23.69583; 30.14495\t']"
"[<span class=""officecolor"">Region:</span>, ' Limpopo']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>]","[<span class=""officecolor"">Court Type: </span>, 'Branch Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Mogwadi</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2"">Dendron</span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'No']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '015 294 6000']","[<span class=""officecolor"">Fax: </span>, '015 295 3286']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X9320, Polokwane 0700']","[<span class=""officecolor"">Physical Address: </span>, 'SAPS Mogwadi, 182 Keerom Str, Dendron\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-23.36444; 29.32263\t']"
"[<span class=""officecolor"">Region:</span>, ' Limpopo']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Potgietersrus']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Mokopane</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2"">Potgietersrus</span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '015 491 2158']","[<span class=""officecolor"">Fax: </span>, '015 491 8111']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X2499, Mokopane 0600']","[<span class=""officecolor"">Physical Address: </span>, '70 Hooge Street, Mokopane 0600\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-24.18494; 29.0152\t']"
"[<span class=""officecolor"">Region:</span>, ' Eastern Cape']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Molteno']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Molteno</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '045 967 0026']","[<span class=""officecolor"">Fax: </span>, '045 967 0069']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag x 16, Molteno 5500']","[<span class=""officecolor"">Physical Address: </span>, 'c/o Robinson & Smith Street, Molteno 5500\t']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 26.36311; S -31.3973\t']"
"[<span class=""officecolor"">Region:</span>, ' Western Cape']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Montagu']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Montagu</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '023 614 1105']","[<span class=""officecolor"">Fax: </span>, '023 614 3974']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X5, Montagu 6720']","[<span class=""officecolor"">Physical Address: </span>, '39 Piet Retief Street, Montagu 6720\t']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 20.12327; S -33.78516\t']"
"[<span class=""officecolor"">Region:</span>, ' KwaZulu-Natal']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Mooi River']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Mooi River</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '033 263 1468/ 2767']","[<span class=""officecolor"">Fax: </span>, '033 263 2761']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X571, Mooi River 3300']","[<span class=""officecolor"">Physical Address: </span>, '15 Clogthon Terrace, Mooi River 3300\t']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 29.9967; S -29.207\t']"
"[<span class=""officecolor"">Region:</span>, ' Limpopo']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>]","[<span class=""officecolor"">Court Type: </span>, 'Periodical Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Mooketsi Traffic Control Centre</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, ' ']","[<span class=""officecolor"">Small Claims Court: </span>]","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '015 395 7901']","[<span class=""officecolor"">Fax: </span>, '015 383 9916']","[<span class=""officecolor"">Postal Address: </span>, 'P/BAG X 773, Ga- Kgapane, 0838']","[<span class=""officecolor"">Physical Address: </span>, 'Mooketsi Weigh Station, Along the R81\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-23.59492; 30.09923\t']"
"[<span class=""officecolor"">Region:</span>, ' Limpopo']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Mookgophong']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Mookgophong</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2"">Naboomspruit</span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '014 743 2217/8']","[<span class=""officecolor"">Fax: </span>, '014 743 0367']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X308, Mookgophong 0560']","[<span class=""officecolor"">Physical Address: </span>, '47 5th Street, Mookgophong 0560\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-24.51813; 28.71221\t']"
