Adress,Court Type,Equality Court,GPS,Mediation Services,Office Name,Region,Sexual Offence Court,Small Claims Court,adress,fax,telephone
N1 Mantsole Taffic Control Pienaarsrivier,Periodical Court,No,-25.13319; 28.30846,No,Mantsole Traffic Control Centre,Limpopo,No,No,,014 736 5210/0865075648,014 736 2231
R47 Main Road Mapumulo 4470,Magistrate Court,Yes,-29.1585 31.0657,No,Mapumulo,KwaZulu-Natal,No,Yes,,032 481 2044,032 481 2001
SAPS  Mara,Periodical Court,No,-23.09121; 29.39328,No,Mara,Limpopo,No,No,,015 516 0044,015 516 0181/2/3
Neu-Halle Section Marapyane ,Periodical Court,No,-25.01279; 28.80465,No,Marapyane,Mpumalanga,No,No,,012 717 5366,012 717 2179/ 3364/ 3527/ 3528
147 Marble East Next to SAPS Marble Hall,Periodical Court,No,-24.96947; 29.2972,No,Marble Hall,Limpopo,No,No,,013 262 3000,013 262 2033/34
Marikana Police Station,Periodical Court,No,-25.70469; 27.48588,No,Marikana,North West,No,No,,014 592 9853/0191,014 597 9400
6 Church Street Marquard 9610,Magistrate Court,Yes, 27.42927;  -28.66441,No,Marquard,Free State,No,Yes,,051 991 1202,051 991 0751
12 Cnr Connan & Van Wyk Street Marydale,Periodical Court,No,-29.40617; 22.10617,No,Marydale,Northern Cape,No,Yes (Sessions Only),,053 353 2092,053 353 1105
c/o Voortrekker & De Clercq Street Mashishing 1120,Magistrate Court,Yes,-25.09255; 30.44766,No,Mashishing,Mpumalanga,No,Yes,,013 235 3411,013 235 2325/6/7
Next to SAPS Masisi,Periodical Court,No,-22.4217; 30.86348,No,Masisi,Limpopo,No,No,,015 967 0085,015 967 0045/0038/ 0077
Next to SAPS Masoyi,Branch Court,No,-25.16311; 31.11477,No,Masoyi,Mpumalanga,Yes,No,,013 796 0881/ 0865077652,013 796 0261
101 Main Road Matatiele 4730,Branch Court,No,-30.34352 28.80728,No,Matatiele,Eastern Cape,No,Yes (Sessions Only),,039 737 3026,039 737 3127
Cnr Madiba & Khodesa Street Matsulu,Periodical Court,No,-25.51831; 31.35247,No,Matsulu,Mpumalanga,No,No,,013 796 0881/ 0865077652,013 796 0261
At Home Affaris Building,Branch Court,No,-26.29966; 30.77571,No,Mayflower,Mpumalanga,No,No,,017 883 1283,017 883 0802/ 0803/0798
n/a,Periodical Court,No,-27.48021 32.59889,No,Mbazwana,KwaZulu-Natal,No,No,,035 595 1165,035 595 1002
22  Bester Street Nelspruit 1200,Magistrate Court,Yes,-25.46947; 30.97802,Yes,Mbombela,Mpumalanga,No,Yes,,013 755 4077/1629,013 753 6200/99
,Periodical Court,,,No,McGregor,Western Cape,No,,,,See Robertson
Mazawule N1 Mdantsane 5219,Magistrate Court,Yes,-32.94862 27.77567,No,Mdantsane,Eastern Cape,No,Yes,,043 761 6651,043-7085000
Heckroodt Cir Meadowlands East 1852,Branch Court,No,-26.22093; 27.89793,No,Meadowlands,Gauteng,No,Yes (Sessions Only),,011 536 2382,011 536 0555
R37 SAPS Moroke,Branch Court,No,-24.38702; 30.07393,No,Mecklenburg,Limpopo,No,No,,013 216 1730,013 216 1091
25 Reinhold Street Melmoth 3835,Magistrate Court,Yes,-28.59116 31.40119,No,Melmoth,KwaZulu-Natal,No,Yes,,035 450 3002,035 450 2094/2007
6 Knipe Street Memel 2970,Periodical Court,No, 29.56714;  -27.68146,No,Memel,Free State,No,Yes,,058 924 0266,058 924 0001
Voortrekker Street Merweville,Periodical Court,No, 21.51898;  -32.66249,No,Merweville,Western Cape,No,No,,023 414 4658,023 415 1787
Cnr Fenton & Kruger Street Meyerton\xa01960,Magistrate Court,No,-26.555253; 28.014649,No,Meyerton,Gauteng,No,Yes,,016 362 3514,016 362 0403
Main Road Mid-Illovo,Periodical Court,No,-29.97061 30.50502,No,Mid-Illovo,KwaZulu-Natal,No,No,,033 212 2790,033 212 2114/2115
40 Loop Street Middelburg 5900,Magistrate Court,Yes,-31.49658 25.00436,No,Middelburg [EC,Eastern Cape,No,Yes,,049 842 3423,049 842 1555
16 Dr Beyers Naude Street Middelburg 1050,Magistrate Court,Yes,-25.76177; 29.45718,Yes,Middelburg [MP,Mpumalanga,No,Yes,,013 282 5377,013 283 7500
Cnr Mangconde & Mkwayi Streets Middledrift 5685,Magistrate Court,Yes,-32.81942 26.98973,No,Middledrift,Eastern Cape,No,Yes,,040 657 3034,040 657 3005
Cnr old Pretoria Road & North Street Midrand,Branch Court,No,-25.99721; 28.12795,No,Midrand,Gauteng,No,No,,011 805 5044,011 805 1906
1st Avenue East Ridge Mitchells Plain 7785,Magistrate Court,Yes, 18.52404;  -34.0482,No,Mitchells Plain,Western Cape,Yes,Yes,,021 391 3063/ 392 5075,021 370 4200/ 4244
Calcutta Police Station Mkhuhlu,Branch Court,No,-24.98733; 31.24365,No,Mkhuhlu,Mpumalanga,No,Yes (Sessions Only),,013 773 0430,013 773 0431/0335
University Drive\xa0 Mmabatho 2735,Magistrate Court,Yes,-25.837015; 25.608403,Yes,Mmabatho,North West,Yes,Yes,,018 384 3594,018 387 8000
3 Stasie Street Modderrivier,Periodical Court,No,-29.03226; 24.62946,No,Modder River,Northern Cape,No,No,,053 833 2576/ 832 7404,053 839 9100
Cnr Van Emmenis & Dr J S Moroka Street Modimolle 0510,Magistrate Court,Yes,-24.70482; 28.40787,Yes,Modimolle,Limpopo,No,Yes,,014 717 5369,014 717 5316
Botha Street Modjadjiskloof,Periodical Court,No,-23.69583; 30.14495,No,Modjadjiskloof,Limpopo,No,No,,015 307 4163,015 307 3770
SAPS Mogwadi 182 Keerom Str Dendron,Branch Court,No,-23.36444; 29.32263,No,Mogwadi,Limpopo,No,No,,015 295 3286,015 294 6000
70 Hooge Street Mokopane 0600,Magistrate Court,Yes,-24.18494; 29.0152,No,Mokopane,Limpopo,No,Yes,,015 491 8111,015 491 2158
c/o Robinson & Smith Street Molteno 5500,Magistrate Court,Yes,-31.3973 26.36311,No,Molteno,Eastern Cape,No,Yes,,045 967 0069,045 967 0026
39 Piet Retief Street Montagu 6720,Magistrate Court,Yes, 20.12327;  -33.78516,No,Montagu,Western Cape,No,Yes,,023 614 3974,023 614 1105
15 Clogthon Terrace Mooi River 3300,Magistrate Court,Yes,-29.2124 29.99598,No,Mooi River,KwaZulu-Natal,No,Yes,,033 263 2761,033 263 1468/ 2767
Mooketsi Weigh Station Along the R81,Periodical Court,,-23.59492; 30.09923,No,Mooketsi Traffic Control Centre,Limpopo,No,,,015 383 9916,015 395 7901
47 5th Street Mookgophong 0560,Magistrate Court,No,-24.51813; 28.71221,No,Mookgophong,Limpopo,No,Yes,,014 743 0367,014 743 2217/8
7 Station Street Moorreesburg 7310,Magistrate Court,Yes, 18.66481;  -33.15311,No,Moorreesburg,Western Cape,No,Yes,,022 433 1488,022 433 1084/ 3406
R36 Uitspan Farm Doringboom Road Morebeng  0810,Magistrate Court,Yes,-23.49485; 29.93585,No,Morebeng,Limpopo,Yes,Yes,,015 874 0537,015 397 7200
199 De Jager Street Morgenzon 2315,Periodical Court,No,-26.73589; 29.61921,No,Morgenzon,Mpumalanga,No,Yes (Sessions Only),,017 793 3023,017 793 3013
Morokweng Heuningvlei Road Morokweng Village,Periodical Court,No,-26.13649; 23.77673,No,Morokweng,North West,No,No,,053 998 3302,053 998 3303
Louis Fourie Street Mossel Bay 6500,Magistrate Court,Yes, 22.11853;  -34.18425,No,Mossel Bay,Western Cape,No,Yes,,044 693 2891,044 693 3113/ 3140/ 3056
SAPS Motetema,Periodical Court,No,-25.09605; 29.46726,No,Motetema,Limpopo,No,No,,015 264 8225/ 0865073717,013 264 8201
10 Tynira street Motherwell,Detached Court,Yes,-33.79625 25.58361,No,Motherwell,Eastern Cape,No,Yes,,041 403 5697,041 403 5600
DP Moloto Street Lerato 2880,Periodical Court,No,-26.13649; 23.77673,No,Motswedi,North West,No,No,,018 363 3387,018 363 5600/1/2/3/4
67 Church Street Mount Ayliff 4735,Magistrate Court,Yes,-30.80725 29.36761,No,Mount Ayliff,Eastern Cape,No,Yes,,039 254 0003,039 254 0004
Main Street (on R56) Mount Fletcher 5510,Magistrate Court,Yes,-30.69286 28.50616,No,Mount Fletcher,Eastern Cape,No,Yes,,039 257 0060,039 257 0022
Main Street Mount Frere 5090,Magistrate Court,Yes,-30.90108 28.99232,No,Mount Frere,Eastern Cape,No,Yes,,039 255 0793,039 255 0251
1 Kelly Street Hammarsdale 3700,Branch Court,No,-29.79584 30.65598,No,Mpumalanga,KwaZulu-Natal,No,No,,031 736 3475,031 736 3471/2/3
68 Main Street Mqanduli 5080,Magistrate Court,Yes,-31.81968 28.76251,No,Mqanduli,Eastern Cape,No,Yes,,047 573 0104,047 573 0002
Tugela Ferry Village Main Road Msinga 3010,Magistrate Court,Yes,-28.74837 30.55507,No,Msinga,KwaZulu-Natal,No,Yes,,033 493 0030,033 493 0001/ 0005
Cnr Leeds & Owen Streets Umtata 50999,Magistrate Court,Yes,-31.59055 28.78765,No,Mthatha,Eastern Cape,No,Yes,,047 531 1704,047 531 1705/ 0538/ 1414
n/a,Periodical Court,No,-31.20763 29.7023,No,Mtontsasa,Eastern Cape,No,Yes (Sessions Only),,,See Lusikisiki
55E Old Riverview Road Mtubatuba 3935,Magistrate Court,Yes,-28.42036 32.18452,No,Mtubatuba,KwaZulu-Natal,No,Yes,,035 550 1526,035 550 0065
10 Hely\xa0Hutchinson Street Mtunzini 3867,Magistrate Court,Yes,-28.95224 31.75679,No,Mtunzini,KwaZulu-Natal,No,Yes,,035 340 1253,035 340 1415
Retief Street Weenen 3325,Periodical Court,No,-28.85307 30.08659,No,Muden,KwaZulu-Natal,No,No,,036 354 1090,036 354 1621
Talma Road Muizenberg,Periodical Court,No,,No,Muizenberg,Western Cape,No,No,,021 788 9852,021 788 9742
14 Church Street Murraysburg 6995,Magistrate Court,Yes, 23.7626;  -31.96287,No,Murraysburg,Western Cape,No,Yes,,049 844 0389,049 844 0001
1 Flax Avenue Musina 0900,Magistrate Court,Yes,-22.34408; 30.04502,Yes,Musina,Limpopo,No,Yes,,015 534 0241,015 534 2146/7
Musina Testing Ground N1,Periodical Court,No,-22.339901; 30.04365,No,Musina Traffic Control Centre,Limpopo,No,No,,015 534 0241,015 534 2146/7
Next to Mutale Police Station Mutale 0956,Magistrate Court,Yes,-22.7356; 30.52201,No,Mutale,Limpopo,No,Yes,,015 967 0085,015 967 0045/0038/ 0077
c/o Calvin Ngobeni & Ackson Malati Street Namakgale 1391,Magistrate Court,Yes,-23.93204; 31.02817,No,Namakgale,Limpopo,No,Yes,,015 769 2561,015 769 1540/1424
B219 Emgazini Str Pongola 3170,Branch Court,No,-27.34603 31.58298,No,Ncotshane,KwaZulu-Natal,No,No,,034 316 1030,034 316 1020
Ndwe Court House Main Road Ndwedwe 4342,Magistrate Court,Yes,-29.51556 30.93637,No,Ndwedwe,KwaZulu-Natal,No,Yes,,032 533 4013 Tel/Fax,032 532 1035 / 533 4013
Next to Nebo Post Office Nebo 1059,Magistrate Court,Yes,-24.90708; 29.76015,No,Nebo,Limpopo,Yes,Yes,,015 264 8225/ 0865073717,013 264 8201
Gumpert Street,Branch Court,No,-33.9348 25.56986,No,Nerina One Stop Youth Justice Centre,Eastern Cape,No,No,,,See Port Elizabeth
Mati Road New Brighton PE 6056,Detached Court,No,-33.90668 25.58482,No,New Brighton,Eastern Cape,No,Yes,,041 454 7351,041 454 1122
Main Road New Hanover 3230,Magistrate Court,Yes,-29.35189 30.52949,No,New Hanover,KwaZulu-Natal,No,Yes,,033 502 0340,033 502 0002/3
37 Murchison Street Newcastle 2940,Magistrate Court,Yes,-27.75562 29.93178,No,Newcastle,KwaZulu-Natal,No,Yes,,034 315 1607,034 312 1166/7/8
186 Main Road Newlands 2092,Branch Court,No,-26.17747; 27.97194,No,Newlands,Gauteng,No,No,,011 477 8250,011 477 7252
Loop West Str Newlands West,Periodical Court,No,-29.78147 30.95591,No,Newlands West,KwaZulu-Natal,No,No,,032 533 9946,032 439 1711
High Street Engcobo 6050,Magistrate Court,Yes,-31.67577 27.99887,No,Ngcobo,Eastern Cape,No,Yes,,047 548 1024,047 548 1117
2 Enstra Street SAPS Ngodwana,Periodical Court,No,-25.5708; 30.67428,No,Ngodwana,Mpumalanga,No,No,,013 755 4077/1629,013 753 6200/99
Main Road Nongoma to Vryheid Ngome,Periodical Court,No,-27.83246 31.38972,No,Ngome,KwaZulu-Natal,No,No,,034 907 5901,034 907 5015
Blythe street  Nqamakwe 4990,Magistrate Court,Yes,-32.20293 27.94162,No,Ngqamakhwe,Eastern Cape,No,Yes,,047 487 0172,047 487 0005
76 King George Street Ngqeleni 5140,Magistrate Court,Yes,-31.67339 29.03152,No,Ngqeleni,Eastern Cape,No,Yes,,047 568 0006,047 568 0002
Ngwelezana Road Enseleni 3910,Branch Court,No,-28.77398 31.86478,No,Ngwelezane,KwaZulu-Natal,No,No,,035 794 2309,035 794 2306/ 2360
3 Hoof Street Niekerkshoop,Periodical Court,No,-29.32615; 22.83894,No,Niekerkshoop,Northern Cape,No,No,,053 343 0531,053 343 0007
210 Neethling Street Nieuwoudtville,Periodical Court,No,-31.37408; 19.11713,No,Niewoudtville,Northern Cape,No,Yes (Sessions Only),,027 341 1483,027 341 1017/ 2920
Cnr 4th Avenue & Church Street Nigel\xa01490,Detached Court,Yes,-26.42122; 28.47182,No,Nigel,Gauteng,No,Yes,,011 814 5488,011 814 8261-3
Lot 208 Ndlangubo Street Nkandla 3855,Magistrate Court,Yes,-28.62081 31.0878,No,Nkandla,KwaZulu-Natal,No,Yes,,035 833 0370,035 833 0028
1513A Hlanganani Street Letaba 0870,Magistrate Court,Yes,-23.88309; 30.27695,No,Nkowankowa,Limpopo,No,Yes,,015 303 2791,015 303 1721/2770
,Periodical Court,No,-32.78887 26.83798,No,Nobanda,Eastern Cape,No,No,,,See Alice
Lot 96 Main Street Nongoma 3950,Magistrate Court,Yes,-27.89943 31.64643,No,Nongoma,KwaZulu-Natal,No,Yes,,035 831 0334,035 831 0302/3
24 Dwars Street C/o Brits Rd & Venter Street Northam,Magistrate Court,No,-24.95815; 27.26432,No,Northam,Limpopo,No,Yes,,014 772\xa0 2523,014 777 1543
54 Voortrekker Street Noupoort 5950,Magistrate Court,Yes,-31.18098; 24.95526,No,Noupoort,Northern Cape,No,Yes,,049 843 1079,049 843 1032/1310
Lot 69 Babanango Road Nqutu 3135,Magistrate Court,Yes,-28.21413 30.67806,No,Nqutu,KwaZulu-Natal,No,Yes,,034 271 0704,034 271 1910
Nsimbini Reserve,Branch Court,No,-30.00026 30.85617,No,Nsimbini,KwaZulu-Natal,No,No,,031 900 0040,031 900 0070/1
n/a,Periodical Court,No,-29.37684 30.94316,No,Nsuze,KwaZulu-Natal,No,No,,032 481 2044,032 481 2001
1 Main Street Ntabathemba 5528,Magistrate Court,Yes,-31.95138 26.45267,No,Ntabathemba,Eastern Cape,No,Yes,,045 846 9357,045 846 9358
Greylingstad SAPS 101 Dreyer Street Greylingstad2415,Periodical Court,,-26.74201; 28.76544,No,Nthorwane,Mpumalanga,No,,,017 773 0196,017 773 0050
88 Bridge City Boulevard Phoenix Industrial 4360,Magistrate Court,Yes,-29.78569 31.0203,No,Ntuzuma,KwaZulu-Natal,Yes,Yes,,031 530 4001,031 530 4000
c/o Madelief & R363 Nuwerus,Periodical Court,No, 18.35721;  -31.14976,No,Nuwerus,Western Cape,No,No,,027 219 1563,027 219 1002
c/o New Eisleben & Govener Mbeki Road Philippi 7802,Branch Court,No, 18.59344;  -34.00065,No,Nyanga,Western Cape,No,No,,021 371 3774,021 372 0902
cnr Oranje &  Van Zyl Smit Street Oberholzer 2499,Magistrate Court,Yes,-26.34875; 27.39068,Yes,Oberholzer,Gauteng,No,Yes,,018 786 2269,018 788 2341-7
Weeber Street Odendaalsrus 9480,Magistrate Court,Yes, 26.68662;  -27.8732,No,Odendaalsrus,Free State,No,Yes,,057 354 1100,057 354 1294
nu 1 Main Road Ogies ,Branch Court,No,-26.05071; 29.05317,No,Ogies,Mpumalanga,No,No,,013 656 5023,013 656 2221/ 690 2005
1 Main Street Ohrigstad,Periodical Court,No,-24.75323; 30.55849,No,Ohrigstad,Limpopo,No,No,,013 235 3411,013 235 2325/6/7
5 Cox Street Olifantshoek 8450,Periodical Court,No,-27.94338; 22.73748,No,Olifantshoek,Northern Cape,No,Yes (Sessions Only),,053 331 0261,053 331 0018/0295
Patmore Road Orkney 2620,Detached Court,No,-25.83137; 25.61075,No,Orkney,North West,No,Yes,,018 462 4275,018 473 2596
c/o Mooki and Rathebe Street Orlando East 1806,Branch Court,No,-26.2369; 27.92024,No,Orlando,Gauteng,No,Yes (Sessions Only),,011 935 2961,011 935 1205 / 2961
42 Voortrekker Street Ottosdal 2610,Detached Court,No,-26.81162; 26.00131,No,Ottosdal,North West,No,Yes,,018 571 0077,018 571 0022
120 St John Street Oudtshoorn 6620,Magistrate Court,Yes, 22.20395;  -33.59042,No,Oudtshoorn,Western Cape,No,Yes,,044 272 5842,044 203 6400/10
c/o Main and Market street Paarl 7622,Magistrate Court,Yes, 18.96939;  -33.73793,No,Paarl,Western Cape,Yes,Yes,,021 872 9116,021 872 3127
Cnr K146 road and Palm Ridge road Palm Ridge Alberton,Magistrate Court,Yes,-26.385538; 28.144237,Yes,Palm Ridge,Gauteng,Yes,Yes,,N/A as yet,010 232 2000/2001
335 Mangope Avenue Pampierstad 8566,Branch Court,No,-27.77947; 24.69964,No,Pampierstad,Northern Cape,No,No,,053 996 1987,053 996  2385/ 1796
Arnold Wilhelm Street\xa0Parow 7500,Branch Court,No, 18.59593;  -33.90439,No,Parow,Western Cape,Yes,No,,021 939 5441,021 936 9400
11 Phillip Street Parys 9585,Magistrate Court,Yes, 27.45694;  -26.89879,No,Parys,Free State,No,Yes,,056 811 2147 Tel/Fax,056 811 2147
Aalwyn Street,Periodical Court,No,-33.75632 24.81524,No,Patensie,Eastern Cape,No,No,,,See Hankey
Griffiths Street,Periodical Court,No,-33.43974 25.96964,No,Paterson,Eastern Cape,No,No,,,See Alexandria
47 Voortrekker Street Paul Roux 9800,Periodical Court,No, 27.95175;  -28.29848,No,Paul Roux,Free State,No,Yes (Sessions Only),,058 471 0752 or 0865072240 or 0866291469,058 471 0301
33 Kruger Street Paul Pietersburg 3180,Magistrate Court,Yes,-27.42383 30.81754,No,Paulpietersburg,KwaZulu-Natal,No,Yes,,034 995 1053,034 995 1003
45 Voortrekker Street Pearston 5860,Magistrate Court,Yes,-32.58198 25.13892,No,Pearston,Eastern Cape,No,Yes,,042 246 1132,042 246 1114
Main Street Peddie 5640,Magistrate Court,Yes,-33.19845 27.12085,No,Peddie,Eastern Cape,No,Yes,,040 673 3047,040 673 3740
1 Durban Street Perdekop,Periodical Court,No,-27.16822; 29.62184,No,Perdekop,Mpumalanga,No,No,,017 735 2295,017 735 2303
19 Reitz Street Petrus Steyn 9640,Periodical Court,No, 28.13123;  -27.64724,No,Petrus Steyn,Free State,No,Yes,,058 871 3194,058 871 3135/6
27 Boshoff Street Petrusburg 9932,Magistrate Court,Yes, 25.41424;  -29.11493,No,Petrusburg,Free State,No,Yes,,053 574 0122,053 574 0122 / 0316
Burg Street Petrusville,Periodical Court,No,-30.07728; 24.65855,No,Petrusville,Northern Cape,No,No,,053 665 0066,053 665 0006
c/o Sealene Street & Palm Road Phalaborwa 1390,Magistrate Court,Yes,-23.95197; 31.13567,Yes,Phalaborwa,Limpopo,No,Yes,,015 781 1819,015 781 2731
65 Voortrekker Street Philippolis 9970,Magistrate Court,Yes, 25.2725;  -30.26322,No,Philippolis,Free State,No,Yes,,051 773 0028,051 773 0002
17 Du Plessis Street Philipstown 8795,Magistrate Court,Yes,-30.43572; 24.47349,No,Philipstown,Northern Cape,No,Yes,,053 665 0066,053 665 0006
c/o Phoenix Highway & Pegasus Drive Phoenix 4068,Branch Court,No,-29.70091 31.0073,No,Phoenix,KwaZulu-Natal,No,No,,031 5076566,031 5078566
Luphepheni Location\xa0 ST Faiths Road Highflats 3306,Branch Court,No,-30.42555 30.15289,No,Phungashe,KwaZulu-Natal,No,No,,039 835 1096,039 835 0031
c/o Moremoholo & Setai Street Setsing Complex Witsieshoek 9870,Magistrate Court,Yes, 28.80829;  -28.53581,No,Phuthaditjhaba,Free State,Yes,Yes,,058 713 6413,058 713 0071
R101 Warmbad Pienaarsrivier,Periodical Court,No,-25.20261; 28.29626,No,Pienaars River,Limpopo,No,No,,014 736 5210/0865075648,014 736 2231
n/a,Periodical Court,No,-26.16245; 24.40736,No,Piet Plessis,North West,No,No,,053 927 2309,053 928 4209
c/o Church & Otto Street Pietermaritzburg 3201,Magistrate Court,Yes,-29.59972 30.3797,No,Pietermaritzburg,KwaZulu-Natal,Yes,Yes,,033 345 0324,033 355 5100/ 5172
44 Voortrekker Street Piketberg 7320,Magistrate Court,Yes, 18.75451;  -32.90652,No,Piketberg,Western Cape,No,Yes,,022 913 2155,022 913 1110/3179
Court House Main Street Pilgrims Rest,Branch Court,No,-24.90928; 30.75679,No,Pilgrim’s Rest,Mpumalanga,No,No,,013 767 1221 Tel/Fax,013 767 1221
5 Chancery Lane Pinetown 3600,Magistrate Court,Yes,-29.81865 30.86095,No,Pinetown,KwaZulu-Natal,No,Yes,,031 709 0339,031 710 7800
Old Main Road,Branch Court,No,-29.64589 30.33356,No,Plessislaer,KwaZulu-Natal,No,No,,033 398 6923,033 398 1390/1116/1167
Skool Street Pofadder 8890,Detached Court,Yes,-29.12479; 19.39461,No,Pofadder,Northern Cape,No,Yes,,054 933 0600,054 933 0021
Inter-Lia Point SAPS on 165 Prince Street Durban ,Branch Court,No,-29.86156 31.03945,No,Point,KwaZulu-Natal,No,No,,See Durban,See Durban
34 Landdros Mare street Polokwane 0699,Magistrate Court,Yes,-23.91451; 29.4541,Yes,Polokwane,Limpopo,No,Yes,,015 294 6074,015 294 6000
7 Polinghome Str Pomeroy,Periodical Court,No,-28.55156 30.42192,No,Pomeroy,KwaZulu-Natal,No,No,,033 493 0030,033 493 0001/ 0005
Koppie Alleen Str  Pongola 3170,Magistrate Court,Yes,-27.34172 31.57998,No,Pongola,KwaZulu-Natal,No,Yes,,034 413 2098,034 413 1350 / 1364
Pascoe Crescent  Port Alfred 5325,Magistrate Court,Yes,-33.59167 26.89058,No,Port Alfred,Eastern Cape,No,Yes,,046 624 5730,046 624 1144
584 Govan Mbeki Street North End Port Elizabeth 6056,Magistrate Court,Yes,-33.94436 25.60463,No,Port Elizabeth,Eastern Cape,Yes,Yes,,041 484 5638,041 502 5133/ 5111/ 5214
Kuswag Street Port Nolloth,Periodical Court,No,-29.25162; 16.86838,No,Port Nolloth,Northern Cape,No,Yes (Sessions Only),,027 851 8017,027 851 8313
5 Court House Road Port Shepstone 4240,Magistrate Court,Yes,-30.7346 30.44789,No,Port Shepstone,KwaZulu-Natal,No,Yes,,039 682 5017,039 682 0136
52 Westgate Street Port St Johns 5540,Magistrate Court,Yes,-31.62286 29.54935,No,Port St Johns,Eastern Cape,No,Yes,,047 564 1106,047 564 1120/ 1444
37 Voortrekker Street Porterville 6810,Branch Court,No, 18.99315;  -33.01163,No,Porterville,Western Cape,No,No,,022 931 2120,022 931 2410/ 2162
13 Jordaan Street Postmasburg 8420,Magistrate Court,Yes,-28.33374; 23.06815,No,Postmasburg,Northern Cape,No,Yes,,053 313 2580,053 313 1155
Cnr Peter Mokaba & Wolmarans Street Potchefstroom 2531,Magistrate Court,Yes,-25.646229; 27.213076,Yes,Potchefstroom,North West,Yes,Yes,,018 294 0018/5075,018 294 1600
Police Station Street Praktiseer 1150,Magistrate Court,Yes,-24.58074; 30.32332,No,Praktiseer,Limpopo,No,Yes,,013 216 1730,013 216 1091
Cnr Schoeman (Francis Baard) & Schubart (Sophie De Bruyn) Street Pretoria 0001\xa0\xa0,Magistrate Court,Yes,-25.74825; 28.18449,Yes,Pretoria,Gauteng,Yes,Yes,,012 328 6546,012 319 4000
335 Emily Hobhouse Street Pretoria North 0182,Magistrate Court,Yes,-25.67076; 28.1737,Yes,Pretoria North,Gauteng,Yes,Yes,,012 565 5804 / 546 3291,012 521 1002/ 4
1 Steward Street Prieska 8940,Magistrate Court,Yes,-29.66815; 22.74982,No,Prieska,Northern Cape,No,Yes,,053 353 2092,053 353 1105
26 Kerk Street Prince Albert 6930,Magistrate Court,Yes, 22.03121;  -33.22747,No,Prince Albert,Western Cape,No,Yes,,023 541 1955,023 541 1450/ 1831
Qudeni Main Road Ekombe,Periodical Court,No,-28.64475 30.89734,No,Qudeni,KwaZulu-Natal,No,No,,035 833 0370,035 833 0028
76 Robinson Road Queenstown 5320,Magistrate Court,Yes,-31.89849 26.86999,No,Queenstown,Eastern Cape,No,Yes,,045 839 2665,045 838 3801
95 Main Street Qumbu 5180,Magistrate Court,Yes,-31.16241 28.87128,No,Qumbu,Eastern Cape,No,Yes,,047 553 1061,047 553 0008
Ramokgopa,Periodical Court,No,-23.47225; 29.80511,No,Ramokgopa,Limpopo,No,No,,See Morebeng,See Morebeng
c/o Marine Drive & Alfred Road Ramsgate,Branch Court,No,-30.88216 30.35163,No,Ramsgate,KwaZulu-Natal,No,Yes (Sessions Only),,039 314 9825,039 314 4165
18 Shepherd Avenue Kensington B Randburg 2125,Magistrate Court,Yes,-26.07748; 27.99628,Yes,Randburg,Gauteng,No,Yes,,011 326 1023,011 998 5300
Cnr Pollock & Sutherland Street Randfontein 1760,Magistrate Court,Yes,-26.181562; 27.699757,No,Randfontein,Gauteng,No,Yes,,011 412 1200/4576,011 412 1195
Near Rankin’s Pass SAPS,Periodical Court,No,-24.52891; 27.9138,No,Rankin’s Pass,Limpopo,No,No,,014 717 5369,014 717 5316
1 Brand Street Rawsonville,Periodical Court,No, 19.30903;  -33.68484,No,Rawsonville,Western Cape,No,No,,023 347 5024,023 342 2325
3 Norval Street Reddersburg 9904,Magistrate Court,Yes, 26.17311;  -29.65197,No,Reddersburg,Free State,No,Yes,,051 553 0484,051 553 0032
40 Church Street Reitz 9810,Magistrate Court,Yes, 28.43131;  -27.79924,No,Reitz,Free State,No,Yes,,058 863 2779,058 863 2778
15 General Keevy Street Reivilo,Periodical Court,No,-26.16245; 24.40736,No,Reivilo,North West,No,No,,053 927 2309,053 928 4209
No 2 Pasetta Parade Richard’s Bay,Branch Court,No,-28.7383 32.048,No,Richards Bay,KwaZulu-Natal,No,Yes (Sessions Only),,035 789 8532,035 789 0183
36 Chilley Street Richmond 3780,Magistrate Court,Yes,-29.87269 30.26988,No,Richmond [KZN,KwaZulu-Natal,No,Yes,,033 212 2790,033 212 2114/2115
288 Market Street Richmond 7090,Magistrate Court,Yes,-31.4145; 23.94448,No,Richmond [NC,Northern Cape,No,Yes,,053 693 0205,053 693 0012
c/o Hof & Sending Street Riebeeck Wes,Periodical Court,No, 18.8727;  -33.35098,No,Riebeeck West,Western Cape,No,No,,022 482 4307,022 482 1121/ 1166/ 1141
64 Loubos Weg Rietfontein,Periodical Court,No,-26.74292; 20.02937,No,Rietfontein,Northern Cape,No,No,,054 332 1495,054 337 5300
13 Mitchell Street Riversdale 6670,Magistrate Court,Yes, 21.25991;  -34.09167,No,Riversdale,Western Cape,No,Yes,,028 713 3797,028 713 2428/ 1236/ 4560/ 3778
Main road Riviersonderend,Periodical Court,No, 19.92012;  -34.15061,No,Rivier-sonder-end,Western Cape,No,No,,028 214 1630,028 212 1076
54 Kerk Street Robertson 6705,Magistrate Court,Yes, 19.88272;  -33.8042,No,Robertson,Western Cape,No,Yes,,023 626 4885,023 626 3023/ 24
SAPS Roedtan Main Street Roedtan 0580,Periodical Court,No,-24.59619; 29.08159,No,Roedtan,Limpopo,No,No,,014 743 0367,014 743 2217/8
