"",,,,,,,,,,1869/ 1307/,Mothibistad 8474,
KwaZulu‐Natal,Periodical Court,,Hibberdene,,No,,No,,,039 978 9400 039 978 3258,"Private Bag X5510,","11 Minerva Cresent, E 30.57074; S ‐30.57749"
"",,,,,,,,,,,Scottburgh 4180,Hibberdene
KwaZulu‐Natal,Periodical Cour,,Highflats,,No,,No,,,See Ixopo See Ixopo,See Ixopo,"Main Road, Highflats E 30.19244; S ‐30.25927"
Gauteng,Johannesburg Central [Johannesburg]Branch Court,,Hillbrow,,No,,No,,,011 642 4441/2 011 642 2025,"Private Bag X1,",c/o 32 Sam Hancock & Queen ‐26.18722; 28.04465
Region,MagDistrict,CourtType,Office,PreviouslyKnownAs,AlsoKnownAs,EQC,SCC SOC,,MDS,Tel Fax,Postal,Physical GPS [S;E]
KwaZulu‐Natal,,Magistrate Court,Himeville,,,Yes,Yes,,,033 702 1303 033 702 1430,"Private Bag X04, Himeville","5 George Street, Himeville E 29.51316; S ‐29.74987"
"",,,,,,,,,,,3256,3256
KwaZulu‐Natal,,Branch Court,Hlabisa,,,No,No,,,"035 838 035 838 1179/1027 Private Bag X5021, Hlabisa",,"Lot 318 Saunders Street, E 31.87623; S ‐28.14621"
"",,,,,,,,,,1022/3/4,3937,Hlabisa 3937
KwaZulu‐Natal,,Magistrate Court,Hlanganani [KZN],,,Yes,Yes,,,039 832 0032 039 832 9461,"Private Bag X508, Bulwer","Bulamain Road, Polela Centre, E 29.85464; S ‐29.76427"
"",,,,,,,,,,,3244,"Hlanganani Establishment,"
KwaZulu‐Natal,,Periodical Court,Hlobane,,,No,No,,,034 981 034 980 9203,"Private Bag X9368, Vryheid n/a",E 31.00982; S ‐27.73714
"",,,,,,,,,,4911/4912/9809,3100,
KwaZulu‐Natal,,Periodical Court,Hluhluwe,,,No,No,,,035 550 0065 035 550 1526,"Private Bag X001,","Old Main Road, Hluhluwe E 32.26811; S ‐28.01969"
"",,,,,,,,,,,Mtubatuba 3935,
Free State,,Periodical Court,Hobhouse,,,No,Yes (Sessions Only),,,051 983 0110 051 983 0031,"Private Bag X1, Hobhouse","27 Muller Street, Hobhouse E 27.14363; S ‐29.52988"
"",,,,,,,,,,,9740,9740
Limpopo,Tzaneen [Lenyenye],Branch Court,Hoedspruit,,,No,Yes (Sessions Only),,,015 781 2731 015 781 1819,"Private Bag X01016,",c/o Moose and Ohrigstad ‐24.35398; 30.951
"",,,,,,,,,,,Phalaborwa 1390,"Street (R527), Hoedsprui"
Eastern Cape,,Magistrate Court,Hofmeyr,,,Yes,Yes,,,048 885 0007 048 885 0288,"Private Bag x 1, Hofmeyr","Voortrekker Street, Hofmeyr E 25.8038; S ‐31.65331"
"",,,,,,,,,,Tel/Fax,5930,5930
Free State,,Magistrate Court,Hoopstad,,,Yes,Yes,,,053 444 1882 053 444 1743,"Private Bag X2, Hoopstad","12 Van Zyl Street, Hoopstad E 25.90564; S ‐27.83609"
"",,,,,,,,,,,9479,9479
Western Cape,,Magistrate Court,Hopefield,,,Yes,Yes,,,022 723 0506 022 723,"Private Bag X4, Hopefield","24 Voortrekker Road, E 18.35107; S ‐33.06274"
"",,,,,,,,,,1522/0866445110,7355,Hopefield 7355
Northern Cape,Pixley Ka Seme [Hopetown],Magistrate Court,Hopetown,,,Yes,Yes,,,053 203 0000 053 203 0453,"Private Bag X1, Hopetown,","1 Cathcart Street, Hopetown, ‐29.62108; 24.08467"
"",,,,,,,,,,,8750,8750
KwaZulu‐Natal,,Magistrate Court,Howick,,,Yes,Yes,,,033 330 2117/ 033 330 7155,"Private Bag X20, Howick","Morling Street, Howick 3290 E 30.23121; S ‐29.48788"
"",,,,,,,,,,083 658 4359,3290,
Eastern Cape,,Magistrate Court,Humansdorp,,,Yes,Yes,,,042 291 0259 042 291 0732,"Private Bag x 560,","Du Plessis Street, Humansdorp E 24.77218; S ‐34.02845"
"",,,,,,,,,,,Humansdorp 6300,6300
North West,Tlokwe  [Potchefstroom],Branch Court,Ikageng,,,No,No,,,See See Potchefstroom See Potchefstroom,,"SAPS Ikageng, Cnr Lekhele & ‐26.719846; 27.062409"
"",,,,,,,,,,Potchefstroom,,"Mogosti Street, Potchefstroom"
KwaZulu‐Natal,,Magistrate Court,Impendle,,,Yes,Yes,,,033 996 033 996 0462,"Private Bag X511, Impendle 23 Mafahlane Road, Impendle E 29.86722; S ‐29.5986",
"",,,,,,,,,,0604/0015,3227,3227
Eastern Cape,,Magistrate Court,Indwe,,,Yes,Yes,,,045 952 1014 045 952 1132,"Private Bag x 3, Indwe 5445 23 Voortrekker Street, Indwe",E 27.33987; S ‐31.46951
"",,,,,,,,,,,,5445
KwaZulu‐Natal,,Magistrate Court,Ingwavuma,,,Yes,Yes,,,035 591 0105/6 035 591 0071,"Private Bag X2201,","Main Road, Ingwavuma 3968 E 31.99678; S ‐27.13309"
"",,,,,,,,,,,Ingwavuma 3968,
KwaZulu‐Natal,,Branch Court,Inkanyezi,,Gizensila,No,No,,,035 474 2171/2 035 474 4745,"Private Bag X502, Eshowe","King Dinuzulu Township, E 31.49991; S ‐28.8899"
"",,,,,,,,,,,3815,"Iknayezi Street, Eshowe 3815"
Eastern Cape,,Periodical Cour,Insikeni,,Ntsikikeni,No,No,,,See Bizana,,n/a E 29.55799; S ‐30.13761
KwaZulu‐Natal,,Periodical Court,Inyono,,Nyoni,No,No,,,035 340 1415 035 340 1253,"Private Bag X505, Mtunzini  n/a",E 31.46347; S ‐29.0798
"",,,,,,,,,,,3867,
North West,Ditsobotla [Itsoseng],Detached Court,Itsoseng,,Ditsobotla,Yes,Yes,,,018 338 0100 018 338 2308,"Private Bag X2, Itsoseng","2338 Ramaboa Street Zone 3, ‐26.50452; 25.37035"
"",,,,,,,,,,,2744,Itsoseng 2744
KwaZulu‐Natal,,Magistrate Court,Ixopo,,,Yes,Yes,,,039 834 2017/8; 039 834 1960,"Private Bag X541, Ixopo","52 Margaret Street, Ixopo E 30.05953; S ‐30.15172"
KwaZulu‐Natal,,Branch Court,Izingolweni,,No,No,,039 534 1100,"039 534 1168 Private Bag X714, Main Road, Izingolweni 4260",E 30.12892; S ‐30.78542
"",,,,,,,,,Izingolweni 4260,
Free State,,Magistrate Court,Jacobsdal,,Yes,Yes,,053 591 0034,"053 591 0554 / Private Bag X01, Jacobsdal 6 Andries Pretorius Street,",E 24.77447; S ‐29.13057
"",,,,,,,,,0866447672 8710 Jacobsdal 8710,
Free State,,Magistrate Court,Jagersfontein,,Yes,Yes,,051 724 0002,"051 723 0103 Private Bag X3, 12 Klooster Convent Street,",E 25.42807; S ‐29.75943
"",,,,,,,,,Jagersfontein 9974 Jagersfontein 9974,
Eastern Cape,,Periodical Court,Jamestown,,No,Yes (Sessions Only),,051 641 0712,"051 641 0931 Private Bag x 01, Aliwal Road , Jamestown 9742 E 26.81013; S ‐31.1203",
"",,,,,,,,,Jamestown 9742,
Northern Cape,Frances Baard [Jan Kempdorp],Detached Court,Jan Kempdorp,,Yes,Yes,,053 456 0361,"053 456 0051 Private Bag X10, Jan 2 Piet Retief Street, Jan",‐27.9164; 24.83714
"",,,,,,,,,"Kempdorp, 8550 Kempdorp, 8550",
Eastern Cape,,Magistrate Court,Jansenville,,Yes,Yes,,049 836 0012,"049 836 0260 Private Bag x 04, Jansenville 46 Main Street, Jansenville",E 24.66629; S ‐32.9459
"",,,,,,,,,6265 6265,
Gauteng,Johannesburg Central [Johannesburg]Branch Court,,Jeppe,,No,No,,011 618 4516,"011 614 5622 Private Bag X1, 225 Market Street,",‐26.20242; 28.06043
"",,,,,,,,,Johannesburg 2000 Jeppestown 2043,
North West,Madibeng [Brits],Periodical Court,Jericho,,No,No,,012 700 8255,"012 703 2223/3189 Private Bag X1002, Ga‐ 1874 Vuka Section, Jericho",‐25.34307; 27.81429
"",,,,,,,,,Rankuwa 0208,
Gauteng,Johannesburg Central [Johannesburg]Magistrate Court,,Johannesburg,,Yes,Yes Yes,Yes,011 491 5000 /,"011 834 1222 /011 Private Bag X1, 26 Fox Street (Cnr Fox & West ‐26.20798; 28.03468",
"",,,,,,,,011 639 0301,"836 0671 Family Johannesburg 2000 Street), Johannesburg 2000",
"",,,,,,,,Family Court,Court,
Eastern Cape,,Magistrate Court,Joubertina,,Yes,Yes,,042 273 1306,"042 273 1128 Private Bag x 04, Joubertina 8 Van Riebeeck Street,",E 23.85433; S ‐33.82494
"",,,,,,,,,5235 Joubertina 5235,
Mpumalanga,Mbombela [Nsikazi],Magistrate Court,Kabokweni,Nsikazi,Yes,Yes,,013 796 0261,"013 796 0881/ Private Bag X1001, Stand 1212, Kabokweni 1245",‐25.347; 31.12391
Region,MagDistrict,CourtType,Office,PreviouslyKnownAs,AlsoKnownAs EQC,,SCC SOC,,MDS,Tel,Fax Postal Physical GPS [S;E]
Gauteng,Mogale City [Kagiso],Detached Court,Kagiso,,Yes,,Yes,,Yes,011 410 1485,"011 410 0552 Private Bag X2009, 23 Kagiso Avenue, Krugersdorp ‐26.15126; 27.78797"
"",,,,,,,,,,,Krugersdorp 1740 1739
Northern Cape,ZF Mgcawu [Kakamas],Detached Court,Kakamas,,Yes,,Yes,,,054 431 0705,"054 431 1306 Private Bag X1, Kakamas, 26 Voortrekker Street, ‐28.77405; 20.62247"
"",,,,,,,,,,,8870 Kakamas 8870
Mpumalanga,Mbombela [Nsikazi],Branch Court,Kanyamazane,,No,,No,,,013 796 0261,"013 796 0881/ Private Bag X1001, Cnr Cobra & Wasp Street, ‐25.46513; 31.18456"
"",,,,,,,,,,,0865077652 Kabokweni 1245 Kanyamazane
Eastern Cape,,Periodical Court,Kareedouw,,No,,Yes (Sessions Only),,,See Humansdorp,13 Eendracht Street E 24.29437; S ‐33.95385
Northern Cape,John Taolo Gaetsewe [Kathu],Detached Court,Kathu,,Yes,,Yes Yes,,,053 723 3221,"053 723 3223 Private Bag X510, Kathu, Hendrik van Eck Road, Kathu, ‐27.69962; 23.04522"
"",,,,,,,,,,,8446 8446
Eastern Cape,,Periodical Cour,Kei Mouth,,No,,No,,,See Komga,Main Street (R349) E 28.37484; S ‐32.67945
Northern Cape,ZF Mgcawu [Keimoes],Detached Court,Keimoes,,Yes,,Yes,,,054 461 1221,"054 461 1582 Private Bag X02, Keimoes, 42 Main Street, Keimoes, 8860 ‐28.70675; 20.96795"
"",,,,,,,,,,,8860
Eastern Cape,,Magistrate Court,Keiskammahoek,,Yes,,Yes,,,040 658 0204,"040 658 0395 Private Bag x 04, Cemetery Avenue , E 27.14602; S ‐32.67995"
"",,,,,,,,,,,Keiskammahoek 5670 Keiskammahoek 5670
Gauteng,Ekurhuleni North [Kempton Park],Magistrate Court,Kempton Park,,Yes,,Yes,,Yes,011 395 6300,"011 394 2507 Private Bag X03, Kempton 17 Monument Road, Kempton ‐26.10212; 28.2326"
"",,,,,,,,,,,Park 1620 Park 1620
Northern Cape,ZF Mgcawu [Kenhardt],Magistrate Court,Kenhardt,,Yes,,Yes,,,054 651 0024,"054 651 0232 Private Bag X04, Kenhardt, Brussel Street, Kenhardt, 8900 ‐29.34709; 21.15304"
"",,,,,,,,,,,8900
Eastern Cape,,Periodical Court,Kenton on Sea,,No,,No,,,See Port Alfred,Oettle Street E 26.66734; S ‐33.68039
Free State,,Periodical Court,Kestell,,No,,No,,,058 653 1116,"058 653 1680 Private Bag X01, Kestell 53 Van Rensburg Street, Kestell E 28.70317; S ‐28.31196"
"",,,,,,,,,,,9860 9860
Gauteng,Tshwane Central [Pretoria],Branch Court,Kgosi Mampuru,Pretoria Central Prison,No,,No,,,012 319 4000,"012 328 6546 Private Bag X61, Pretoria Cnr Kgosi Mampuru & Klawer ‐25.76048; 28.1814"
"",,,,,,,,,,,"0001 Street, Pretoria 001"
Western Cape,,Detached Court,Khayelitsha,,Yes,,Yes,,,021 360 1400,"021 360 1412 Private Bag X1 , Khayelitsha c/o Steve Biko & Walter Sisulu E 18.67645; S ‐34.04751"
Gauteng,Merafong [Oberholzer],Branch Court,Khutsong,,No,,No,,,018 783 2609,"018 783 2938 Police 7P7ri8v3ate Bag X2004, S01 SomKphane Slitrehet,7 N78e4xt to ‐26.34324; 27.33109"
"",,,,,,,,,,,Station Oberholzer 2502 Khutsong Police Station
Northern Cape,Frances Baard [Kimberley],Magistrate Court,Kimberley,,Yes,,Yes Yes,,,053 807 0600 /,"053 833 2576/ 832 Private Bag X5014, c/o Knight & Stead Street, ‐28.73665; 24.76609"
"",,,,,,,,,,073‐1133360,"7404 Kimberley, 8300 Kimberley, 8300"
Eastern Cape,,Magistrate Court,King William’s Town,,Yes,,Yes,,,043 642 3548,"043 642 1015 Private Bag x 7435, King 117 Alexandra Road, King E 27.38756; S ‐32.87222"
"",,,,,,,,,,,Williams town Williams town 5600
Eastern Cape,,Periodical Court,Kinkelbos,,No,,No,,,See Alexandria,R72 (N2 from Grahamstown to E 25.87832; S ‐33.64668
"",,,,,,,,,,,PE)
Eastern Cape,,Magistrate Court,Kirkwood,,Yes,,Yes,,,042 230 0313,"042 230 0576 Private Bag x 601, Kirkwood Middle Street, Kirkwood 6120 E 25.44367; S ‐33.39882"
"",,,,,,,,,,,6120
Western Cape,,Periodical Court,Klawer,,No,,No,,,027 219 1002,"027 219 1563 Private Bag X2, 25 Niewoudt Street, Klawer E 18.62488; S ‐31.77277"
"",,,,,,,,,,,Vanrhynsdorp 8170
North West,Matlosana  [Klerksdorp],Magistrate Court,Klerksdorp,,Yes,,Yes Yes,,Yes,018 464 9200,"018 462 4275 Private Bag A8, Klerksdorp 27 OR Tambo Street, ‐26.86611; 26.66495"
"",,,,,,,,,,018 464 9211,2570 Klerksdorp 2570
North West,Ventersdorp  [Ventersdorp],Periodical Court,Klerkskraal,,No,,No,,,018 264 2036/7,"018 264 2404 Private Bag X1004, N14 Krugersdorp and ‐26.25171; 27.1634"
"",,,,,,,,,,,"Ventersdorp 2710 Ventersdorp, Klerkskraa"
Eastern Cape,,Periodical Court,Klipplaat,,No,,Yes (Sessions Only),,,See Jansenville,Next to SAPS R338 E 24.33273; S ‐33.02154
Gauteng,Johannesburg Central [Soweto],Branch Court,Kliptown,,No,,Yes (Sessions Only),,Yes,011 945 1164,"011 945 6381 Private Bag X1, 49 Beacon Road, Kliptown 1812‐26.28322; 27.8874"
"",,,,,,,,,,,Johannesburg 2000
Western Cape,,Magistrate Court,Knysna,,Yes,,Yes,,,044 382 1141/,"044 382 2708 Private Bag X014, Knysna 11 Main Street, Knysna 6570 E 23.0523; S ‐34.03638"
"",,,,,,,,,,2/3,6570
Free State,,Magistrate Court,Koffiefontein,,Yes,,Yes Yes,,,053 205 0002,"053 205 0042 Private Bag X1, 6 Hampden Street, E 25.00256; S ‐29.40947"
"",,,,,,,,,,,Koffiefontein 9986 Koffiefontein 9986
KwaZulu‐Natal,,Magistrate Court,Kokstad,,Yes,,Yes,,,039 727 2010/,"039 727 1642 Private Bag X507, Kokstad 5 Barker Street, Kokstad 4700 E 29.4257; S ‐30.55084"
"",,,,,,,,,,2011,4700
Mpumalanga,Steve Tshwete [Middelburg],Periodical Court,Komati,,Blinkpan No,,No,,,013 283 7500,"013 282 5377 Private Bag X1804, SAPS Blinkpan ‐26.09934; 29.45108"
"",,,,,,,,,,,Middelburg 1050
Mpumalanga,Nkomazi [Komatipoort],Periodical Court,Komatipoort,,No,,No,,,013 712 2104/,"013 712 5122 Private Bag X1614, 09 Louw Street, near SAPS"
"",,,,,,,,,,,‐25.43561; 31.95529
"",,,,,,,,,,3284/ 3267,Barberton  1300 Komatipoort
Eastern Cape,,Magistrate Court,Komga,,Yes,,Yes,,,043 831 1019,"043 831 1281 Private Bag x 01, Komga 1 Government Avenue, Komga E 27.89227; S ‐32.57581"
"",,,,,,,,,,,4950 4950
Free State,,Magistrate Court,Koppies,,Yes,,Yes,,,056 777 1814,"056 777 2578 Private Bag X01, Koppies Church Street, Koppies 9540 E 27.57517; S ‐27.24207"
"",,,,,,,,,,,9540
North West,Kgetlengrivier [Koster],Magistrate Court,Koster,,Yes,,Yes,,,014 543,"014 543 4880 Private Bag X22, Koster 46 Malan Street, Koster 0348 ‐25.86492; 26.89701"
"",,,,,,,,,,2024/2357,0348
KwaZulu‐Natal,,Magistrate Court,Kranskop,,Yes,,Yes,,,033 444 1603,"033 444 1330 Private Bag X221, Kranskop 1 Main Street, Kranskop 3268 E 30.86267; S ‐28.96662"
"",,,,,,,,,,,3268
Free State,,Magistrate Court,Kroonstad,,Yes,,Yes,,,056 212 4161,"056 212 6706 Private Bag X12, Kroonstad Cnr Mark & Murray Street, E 27.2333; S ‐27.66915"
"",,,,,,,,,,,9500 Kroonstad 9500
Gauteng,Mogale City [Krugersdorp],Magistrate Court,Krugersdorp,,Yes,,Yes,,Yes,011 660 3711/3,"011 665 5013 Private Bag X2009, cnr  Commissioner and Biccard ‐26.0992; 27.7673"
"",,,,,,,,,,,"Krugersdorp 1740 Streets, Krugersdorp 1739"
Northern Cape,John Taolo Gaetsewe [Kudumane],Magistrate Court,Kudumane,,Mothibistat/ Mothibista Yes,,Yes,,,053 773 1868/,"053 773 1502/1156 Private Bag X102, 1269 Mothibi Road, Kudumane"
Region,MagDistrict,CourtType,Office,PreviouslyKnownAs,AlsoKnownAs,EQC,SCC SOC,,MDS,Tel,Fax,Postal Physical,GPS [S;E]
Western Cape,,Magistrate Court,Kuilsriver,,,Yes,Yes,,,021 903 7902,n/a,"Private Bag X1, Kuils River 122 Van Riebeeck Avenue,",E 18.68291; S ‐33.93266
"",,,,,,,,,,,,7580 Kuils River 7580,
Northern Cape,John Taolo Gaetsewe [Kuruman],Magistrate Court,Kuruman,,,Yes,Yes,,,053 712 1081,053 712 2021,"Private Bag X854, Kuruman, Ben Malan Street, Kuruman,",‐27.45474; 23.43381
"",,,,,,,,,,,,8460 8460,
Gauteng,Ekurhuleni East [Springs],Branch Court,Kwa Thema,,,No,No,,,011 736 4406,011 811 2296,"Private Bag X8, Springs Gobede Street, Kwa Thema",‐26.27947; 28.3952
"",,,,,,,,,,,,1560 1575,
Eastern Cape,,Periodical Cour,Kwaaiman,,,No,No,,,See Mqanduli,,n/a,E 28.9781; S ‐31.91916
KwaZulu‐Natal,,Magistrate Court,KwaDukuza,Stanger,,Yes,Yes,,,032 551 1201,032 552 1656,"Private Bag X602, 127 King Shaka Street,",E 31.29045; S ‐29.338
"",,,,,,,,,,,,KwaDukuza 4450 KwaDukuza 4450,
Mpumalanga,Thembisile Hani [Kwaggafontein],Magistrate Court,Kwaggafontein,Mkobola,,Yes,Yes,,,013 986 0131/2,013 986 0598,"Private Bag X4033, 106C Kwaggafontein,",‐25.31087; 28.94654
"",,,,,,,,,,,,Empumalanga 0458 Empumalanga 0458,
KwaZulu‐Natal,,Branch Court,KwaMashu,,,No,No,,,See Ntuzuma BC,See Ntuzuma BC,"See Ntuzuma BC 1137 Ntombela Road,",E 31.00065; S ‐29.73654
"",,,,,,,,,,,,KwaMashu,
KwaZulu‐Natal,,Periodical Court,Kwambonambi,,,No,No,,,035 772,035 792 2527,"Private Bag X20023, Main Street, Kwanbonambi",E 32.08577; S ‐28.59909
"",,,,,,,,,,1711/2/3,,Empangeni 3880,
Mpumalanga,Thembisile Hani [KwaMhanga],Magistrate Court,KwaMhlanga,,,Yes,Yes,,Yes,013 947 2363/4,013 947 3490,"Private Bag X4006, Nr 37 Section BA, Kwamhlanga",
"",,,,,,,,,,,,‐25.43336; 28.71456Kwamhlanga 1022 1022,
KwaZulu‐Natal,,Branch Court,KwaMsane,,,No,No,,,035 551,035 551 1467,"Private Bag X002, Mfundo Street, KwamSane,",E 32.13836; S ‐28.43328
"",,,,,,,,,,1060/1832/1833,,Mtubatuba 3935 Mtubatuba 3935,
KwaZulu‐Natal,,Periodical Court,Kwangwanase,,Manguzi,No,Yes (Sessions Only),,,035 592 0119,035 592 0493,"Private Bag X324 , Main Road, Kwangwanase",E 32.74402; S ‐26.99695
"",,,,,,,,,,,,Kwangwanase 3973 3973,
Eastern Cape,,Branch Court,Kwa‐Nobuhle,,,No,No,,,See Uitenhage,,Pononotini Street,E 25.39547; S ‐33.80844
Western Cape,,Branch Court,Laaiplek,,,No,No,,,022 783 0090,022 783 0829,"Private Bag X1, Laaiplek c/o Jameson & Van Zyl Street,",E 18.15675; S ‐32.77114
"",,,,,,,,,,,,7365 Laaiplek 7365,
Western Cape,,Magistrate Court,Ladismith,,,Yes,Yes,,,028 551 1009/,028 551 1168,"Private Bag X215, Ladismith 57 Queen Street, Ladismith",E 21.26777; S ‐33.49465
"",,,,,,,,,,1019,,6655 6655,
Eastern Cape,,Magistrate Court,Lady Frere,,Cacadu,Yes,Yes,,,047 878 0011,047 878 0017,"Private Bag x 1124, Lady 40 Indwe Road, Lady Frere",E 27.23713; S ‐31.70163
"",,,,,,,,,,,,Frere 5410 5410,
Eastern Cape,,Magistrate Court,Lady Grey,,,Yes,Yes,,,051 603 0024,051 603 3019,"Private Bag x 1, Lady Grey 19 Martin Street, Lady Grey",E 27.21533; S ‐30.71058
"",,,,,,,,,,,,9755 9755,
Free State,,Magistrate Court,Ladybrand,,,Yes,Yes,,,051 924 3210,051 924 2474,"Private Bag X4, Ladybrand 21 Church Street, Ladybrand",E 27.45637; S ‐29.19637
"",,,,,,,,,,,,9745 9745,
KwaZulu‐Natal,,Magistrate Court,Ladysmith,,,Yes,Yes,,,036 637 6771,036 631 0498,"Private Bag X9930, 16 Keate Street, Ladysmith",E 29.77884; S ‐28.55928
"",,,,,,,,,,,,Ladysmith 3370 3370,
Mpumalanga,Steve Tshwete [Middelburg],Periodical Court,Laersdrift,,,No,No,,,013 283 7500,013 282 5377,"Private Bag X1804, SAPS Laersdrif",‐25.36766; 29.85622
"",,,,,,,,,,,,Middelburg 1050,
Western Cape,,Magistrate Court,Laingsburg,,,Yes,Yes,,,023 551 1010/,023 551 1296,"Private Bag X42, Laingsburg 54 Station Street, Laingsburg",E 20.85924; S ‐33.19728
"",,,,,,,,,,1481,,6900 6900,
Western Cape,,Periodical Court,Lamberts Bay,,,No,No,,,027 482 2114/5,027 482 2412,"Private Bag X3, Clanwilliam Voortrekker Street, Lamberts",E 18.30544; S ‐32.09259
"",,,,,,,,,,,,8135 Bay,
Western Cape,,Periodical Court,Langebaan,,,No,No,,,022 723 0506,022 723,"Private Bag X4, Hopefield 7 Antonio Steni Street,",E 18.03574; S ‐33.08286
"",,,,,,,,,,,1522/0866445110,7355 Langebaan,
Limpopo,Tubatse [Burgersfort],Periodical Court,Leboeng,,,No,No,,,013 216 1091,013 216 1730,"Private Bag X1013, Mbeki Street,Leboeng Village",‐24.50923; 30.64792
"",,,,,,,,,,,,Burgersfort 1150,
Limpopo,Lepele‐Nkumpi [Lebowakgomo],Magistrate Court,Lebowakgomo,,Thabamoopo,Yes,Yes,,Yes,015 633 2600,015 633 7178,"Private Bag X05, Next to Mabhori Shopping",‐24.32035; 29.47842
"",,,,,,,,,,,,"Chuenespoort 0745 Centre, Chuenespoort 0737",
Western Cape,,Periodical Court,Leeu‐Gamka,,,No,No,,,023 541 1450/,023 541 1955,"Private Bag X70, Prince n/a",E 21.9688; S ‐32.7661
"",,,,,,,,,,1831,,Albert 6930,
North West,Ramotshere Moiloa [Lehurutshe],Magistrate Court,Lehurutshe,,,Yes,Yes,,,018 363,018 363 3387,"Private Bag X2005, Lerato 2520 AP Moloto Street,",‐25.49137; 25.98336
"",,,,,,,,,,5600/1/2/3/4,,2880 Lehurutshe,
Gauteng,Johannesburg Central [Soweto],Branch Court,Lenasia,,,No,Yes (Sessions Only),,,011 854 1305,865074817,"Private Bag X1, 2 Station Place (Cnr Station &",‐26.31784; 27.82435
"",,,,,,,,,,,,"Johannesburg 2000 Nirvana Drive), Lenasia 1821",
Limpopo,Tzaneen [Lenyenye],Magistrate Court,Lenyenye,,Naphuno,Yes,Yes,,,015 355,015 355 3463,"Private Bag X1416, Cnr Magistrate & Police Street, ‐23.97211; 30.27002",
"",,,,,,,,,,3414/5/6,,Lenyenye 0857 Lenyenye 0857,
Limpopo,Lephalale [Lephalale],Magistrate Court,Lephalale,Ellisras,,Yes,Yes Yes,,Yes,014 763 2178 /,014 763 3840,"Private Bag X201, Lephalale 2 Park Avenue, Lephalale 0555 ‐23.67796; 27.73573",
"",,,,,,,,,,763 1047,,0555,
Mpumalanga,Govan Mbeki [Evander],Periodical Cour,Leslie,,,No,No,,,017 632 2204,017 632 2835,"Private Bag X1006, Evander c/o Norda & Diaz Street, SAPS",‐26.36962; 28.92187
Limpopo,Tzaneen [Nkowankowa],Periodical Court,Letsitele,,,No,No,,,015 307 3770,015 307 4163,"Private Bag X4010, Tzaneen Joubert Street, Letsitele",‐23.89401; 30.39273
"",,,,,,,,,,,,0850,
Limpopo,Malamulele [Vuwani],Periodical Court,Levubu,,,No,No,,,015 516,015 516 0044,"Private Bag X2403, Louis Main Road,SAPS  Levubu",‐23.09212; 30.27622
"",,,,,,,,,,0181/2/3,,Trichardt 0920,
Eastern Cape,,Magistrate Court,Libode,,,Yes,Yes,,,047 555 0002,047 555 0101,"Private Bag x 503, Libode Main Street (R61), Libode 5160 E 29.01547; S ‐31.54138",
"",,,,,,,,,,,,5160,
North West,Ditsobotla [Lichtenburg],Magistrate Court,Lichtenburg,,,Yes,Yes,,Yes,018 632 7900,018 632 3619,"Private Bag X12026, Landdros Maartens Avenue,",‐26.15958; 26.1506
"",,,,,,,,,,,,Lichtenburg 2740 Lichtenburg 2740,
Northern Cape,ZF Mgcawu [Postmasburg],Periodical Court,Lime Acres,,,No,Yes (Sessions Only),,,053 313 1155,053 313 2580,"Private Bag X3032, Sentraal Weg, Lime Acres",‐28.35899; 23.52476
"",,,,,,,,,,,,"Postmasburg, 8420",
Free State,,Magistrate Court,Lindley,,,Yes,Yes,,,058 463 0012 /,058 463 0615,"Private Bag X1, Lindley, 20 Church Street, Lindley, 9630 E 27.92125; S ‐27.88119",
Region,MagDistrict,CourtType,Office,PreviouslyKnownAs,AlsoKnownAs,EQC,SCC SOC,,MDS,Tel,Fax,Postal Physical GPS [S;E]
Northern Cape,Namakwa [Calvinia],Periodical Court,Loeriesfontein,,,No,Yes (Sessions Only),,,027 341 1017/,027 341 1483,"Private Bag X29, Calvinia, Government Street SAPS, ‐30.95631; 19.449"
"",,,,,,,,,,2920,,8190 Loeriesfontein
Gauteng,Ekurhuleni North [Kempton Park],Branch Court,Long Street,,,No,No,,,011 921 2606,011 970 1437,"Private Bag X03/ P O Box 11 Long Street, Kempton Park ‐26.103781; 28.229819"
"",,,,,,,,,,,,"13, Kempton Park 1620 1620"
Mpumalanga,Msukaligwa [Ermelo],Periodical Court,Lothair,,,No,No,,,017 819 3462/,017 819 2735,"Private Bag X9003, Ermelo No 1 Main Street, Lothair ‐26.39039; 30.44042"
"",,,,,,,,,,63/66,,2350
Limpopo,Makhado [Louis Trichardt],Magistrate Court,Louis Trichardt,,Makhado,Yes,Yes,,Yes,015 516,015 516 0044,"Private Bag X2403, Louis 103 Munnik Street, Louis ‐23.03811; 29.90637"
"",,,,,,,,,,0181/2/3,,Trichardt 0920 Trichardt 0920
KwaZulu‐Natal,,Magistrate Court,Louwsburg,,,Yes,Yes,,,034 907 5015,034 907 5901,"Private Bag X01, Louwsburg Cnr King & Avenue Street, E 31.28259; S ‐27.58056"
"",,,,,,,,,,,,3150 Louwsburg 3150
Mpumalanga,Umjindi [Barberton],Periodical Court,Low’s Creek,,,No,No,,,013 712 2104/,013 712 5122,"Private Bag X1614, SAPS Low's Creek ‐25.64453; 31.29336"
"",,,,,,,,,,3284/ 3267,,Barberton 1300
