Region,Court Type,Office Name,Equality Court,Small Claims Court,Sexual Offence Court,Mediation Services,telephone,fax,adress,GPS
KwaZulu-Naal,Magisrae Cour,Louwsburg,Yes,Yes,No,No,034 907 5015,034 907 5901,Cnr King & Avenue Sree Louwsburg 3150,E 31.28259; S -27.58056
Mpumalanga,Periodical Cour,Low’s Creek,No,No,No,No,013 712 2104/ 3284/ 3267,013 712 5122,"""SAPS Lows Creek""",-25.64453; 31.29336
Norhern Cape,Periodical Cour,Loxon,No,Yes (Sessions Only),No,No,053 621 0007,053 621 0866,Kerk Sree Loxon,-31.47715; 22.3501
Free Sae,Periodical Cour,Luckhoff,No,No,No,No,051 723 0002,051 723 0103,cnr - Voorrekker and Fourie See,E 24.78775; S -29.75082
Limpopo,Magisrae Cour,Lulekani,Yes,Yes,No,No,015 783 0151/2,015 783 0620,Chris Hani Sree Lulekani 1392,-23.86722; 31.08087
Easern Cape,Magisrae Cour,Lusikisiki,Yes,Yes,No,No,039 253 1512,039 253 1125,c/o Sanford & Main Sree Lusikisiki 4820,E 29.57209; S -31.3646
Wesern Cape,Periodical Cour,Luzville,No,No,No,No,027 213 2010,027 213 4823,Mazikama Sree Luzville,E 18.3448; S -31.55888
Mpumalanga,Periodical Cour,Maarenshoop,No,No,No,No,013 235 2325/6/7,013 235 3411,n/a,-24.99109; 30.23391
Easern Cape,Magisrae Cour,Maclear,Yes,Yes,No,No,045 932 1012,045 932 1429,Royal Road  Maclear 5480,E 28.34554; S -31.06629
KwaZulu-Naal,Deached Cour,Madadeni,Yes,Yes,Yes,No,034 329 7500,034 314 1102,2583 Secion 2 Nex o Madadeni SAPS Madadeni 2951,E 30.02838; S -27.76073
Norh Wes,Deached Cour,Madikwe,Yes,Yes,No,No,014 553 2033/2538,014 553 2733,2 Mogakari Sree Madikwe 2840,-25.35227; 26.52444
Gaueng,Periodical Cour,Magaliesburg,No,No,No,No,011 660 3711-3,011 665 5013,5 Koser Road Magaliesburg,-25.99804; 27.53917
Limpopo,Branch Cour,Magale,No,Yes (Sessions Only),No,No,015 483 0302/3,015 483 0302 Tel/Fax,Area 7 Magale Main Road Nex o SAPS Magale,-24.45589; 29.41136
KwaZulu-Naal,Periodical Cour,Magudu,No,No,No,No,034 414 1011,034 414 1303/ 907 5901,Main Sree Magudu 3170,E 31.64893; S -27.53354
Mpumalanga,Periodical Cour,Mahamba,No,No,No,No,017 826 2085,017 826 2085 Tel/Fax,Mahamba Border Pos Mahamba,-27.10485; 31.06845
KwaZulu-Naal,Magisrae Cour,Mahlabaini,Yes,Yes,No,No,035 873 0101/2,035 873 0108,Mashona Main Road Mahlabaini 3865,E 31.46825; S -28.235
Limpopo,Magisrae Cour,Mahwelereng,Yes,Yes,Yes,Yes,015 483 0302/3,015 483 0302 Tel/Fax,Hospial Sree Mokopane 0600,-24.15216; 28.98316
Norh Wes,Periodical Cour,Makgobisad,No,No,No,No,018 387 8000,018 384 3594,Nex o he Police Saion Makgobisad,-25.75749; 25.10491
Free Sae,Deached Cour,Makwane,No,Yes,No,No,058 710 1027 / 1446,058 710 7123,Nex o Makwane Police Saion Wisieshoek 9870,E 28.88083; S -28.53359
Limpopo,Magisrae Cour,Malamulele,Yes,Yes,No,No,015 851 0022/3/4,015 851 1357,Police Hospial Road Malamulele 0982,-23.00506; 30.6887
Mpumalanga,Periodical Cour,Malelane,No,No,No,No,013 712 2104/ 3284/ 3267,013 712 5122,57 Imbane Circle Malelane,-25.49439; 31.51089
Limpopo,Periodical Cour,Malipsdrif,No,Yes (Sessions Only),No,No,015 633 7160/ 1/2/3/4,015 633 7177/8,Nex o Malipsdrif SAPS,-24.17487; 30.00271
Wesern Cape,Magisrae Cour,Malmesbury,Yes,Yes,No,No,022 482 1121/ 1166/ 1141,022 482 4307,1 Pie Reief Sree Malmesbury 7300,E 18.72991; S -33.4604
Easern Cape,Magisrae Cour,Malui,Yes,Yes,No,No,039 256 0101,039 256 0616,138 Police Saion Road Malui 4740,E 28.78665; S -30.26287
Gaueng,Deached Cour,Mamelodi,No,Yes,No,No,012 805 4001/8282,012 805 1878,20 Shabangu Ave Preoria 0122,-25.71432; 28.34785
Norh Wes,Magisrae Cour,Mankwe,Yes,Yes,Yes,Yes,014 555 5800,014 555 5804,934 Uni 1xa0 Shopping Complex  Mogwase 0314,-25.27177; 27.2379
Limpopo,Magisrae Cour,Mankweng,Yes,Yes,Yes,No,015 286 2200,015 267 1063,1057 Uni C Mankweng Sovenga 0727,-23.88197; 29.70164
Limpopo,Periodical Cour,Mansole Traffic Conrol Cenre,No,No,No,No,014 736 2231,014 736 5210/0865075648,N1 Mansole Taffic Conrol Pienaarsrivier,-25.13319; 28.30846
KwaZulu-Naal,Magisrae Cour,Mapumulo,Yes,Yes,No,No,032 481 2001,032 481 2044,R47 Main Road Mapumulo 4470,E 31.06571; S -29.1585
Limpopo,Periodical Cour,Mara,No,No,No,No,015 516 0181/2/3,015 516 0044,SAPS  Mara,-23.09121; 29.39328
Mpumalanga,Periodical Cour,Marapyane,No,No,No,No,012 717 2179/ 3364/ 3527/ 3528,012 717 5366,Neu-Halle Secion Marapyane,-25.01279; 28.80465
Limpopo,Periodical Cour,Marble Hall,No,No,No,No,013 262 2033/34,013 262 3000,147 Marble Eas Nex o SAPS Marble Hall,-24.96947; 29.2972
Norh Wes,Periodical Cour,Marikana,No,No,No,No,014 597 9400,014 592 9853/0191,Marikana Police Saion,-25.70469; 27.48588
Free Sae,Magisrae Cour,Marquard,Yes,Yes,No,No,051 991 0751,051 991 1202,6 Church Sree Marquard 9610,E 27.42927; S -28.66441
Norhern Cape,Periodical Cour,Marydale,No,Yes (Sessions Only),No,No,053 353 1105,053 353 2092,12 Cnr Connan & Van Wyk Sree Marydale,-29.40617; 22.10617
Mpumalanga,Magisrae Cour,Mashishing,Yes,Yes,No,No,013 235 2325/6/7,013 235 3411,c/o Voorrekker & De Clercq Sree Mashishing 1120,-25.09255; 30.44766
Limpopo,Periodical Cour,Masisi,No,No,No,No,015 967 0045/0038/ 0077,015 967 0085,Nex o SAPS Masisi,-22.4217; 30.86348
Mpumalanga,Branch Cour,Masoyi,No,No,Yes,No,013 796 0261,013 796 0881/ 0865077652,Nex o SAPS Masoyi,-25.16311; 31.11477
KwaZulu-Naal,Branch Cour,Maaiele,No,Yes (Sessions Only),No,No,039 737 3127,039 737 3026,101 Main Road Maaiele 4730,E 28.80729; S -30.34352
Mpumalanga,Periodical Cour,Masulu,No,No,No,No,013 796 0261,013 796 0881/ 0865077652,Cnr Madiba & Khodesa Sree Masulu,-25.51831; 31.35247
Mpumalanga,Branch Cour,Mayflower,No,No,No,No,017 883 0802/ 0803/0798,017 883 1283,A Home Affaris Building,-26.29966; 30.77571
KwaZulu-Naal,Periodical Cour,Mbazwana,No,No,No,No,035 595 1002,035 595 1165,n/a,E 32.5989; S -27.48021
Mpumalanga,Magisrae Cour,Mbombela,Yes,Yes,No,Yes,013 753 6200/99,013 755 4077/1629,22  Beser Sree Nelsprui 1200,-25.46947; 30.97802
Wesern Cape,Periodical Cour,McGregor,No,No,No,No,See Roberson,No,No,No
Easern Cape,Magisrae Cour,Mdansane,Yes,Yes,No,No,043-7085000,043 761 6651,Mazawule N1 Mdansane 5219,E 27.77629; S -32.94659
Gaueng,Branch Cour,Meadowlands,No,Yes (Sessions Only),No,No,011 536 0555,011 536 2382,Heckrood Cir Meadowlands Eas 1852,-26.22093; 27.89793
Limpopo,Branch Cour,Mecklenburg,No,No,No,No,013 216 1091,013 216 1730,R37 SAPS Moroke,-24.38702; 30.07393
KwaZulu-Naal,Magisrae Cour,Melmoh,Yes,Yes,No,No,035 450 2094/2007,035 450 3002,25 Reinhold Sree Melmoh 3835,E 31.40119; S -28.59116
Free Sae,Periodical Cour,Memel,No,Yes,No,No,058 924 0001,058 924 0266,6 Knipe Sree Memel 2970,E 29.56714; S -27.68146
Wesern Cape,Periodical Cour,Merweville,No,No,No,No,023 415 1787,023 414 4658,Voorrekker Sree Merweville,E 21.51898; S -32.66249
Gaueng,Magisrae Cour,Meyeron,No,Yes,No,No,016 362 0403,016 362 3514,Cnr Fenon & Kruger Sree Meyeronxa01960,-26.555253; 28.014649
KwaZulu-Naal,Periodical Cour,Mid-Illovo,No,No,No,No,033 212 2114/2115,033 212 2790,Main Road Mid-Illovo,E 30.50502; S -29.97061
Easern Cape,Magisrae Cour,Middelburg [EC,Yes,Yes,No,No,049 842 1555,049 842 3423,40 Loop Sree Middelburg 5900,E 25.00437; S -31.49658
Mpumalanga,Magisrae Cour,Middelburg [MP,Yes,Yes,No,Yes,013 283 7500,013 282 5377,16 Dr Beyers Naude Sree Middelburg 1050,-25.76177; 29.45718
Easern Cape,Magisrae Cour,Middledrif,Yes,Yes,No,No,040 657 3005,040 657 3034,Cnr Mangconde & Mkwayi Srees Middledrif 5685,E 26.98973; S -32.81943
Gaueng,Branch Cour,Midrand,No,No,No,No,011 805 1906,011 805 5044,Cnr old Preoria Road & Norh Sree Midrand,-25.99721; 28.12795
Wesern Cape,Magisrae Cour,Michells Plain,Yes,Yes,Yes,No,021 370 4200/ 4244,021 391 3063/ 392 5075,1s Avenue Eas Ridge Michells Plain 7785,E 18.52404; S -34.0482
Mpumalanga,Branch Cour,Mkhuhlu,No,Yes (Sessions Only),No,No,013 773 0431/0335,013 773 0430,Calcua Police Saion Mkhuhlu,-24.98733; 31.24365
Norh Wes,Magisrae Cour,Mmabaho,Yes,Yes,Yes,Yes,018 387 8000,018 384 3594,Universiy Drivexa0 Mmabaho 2735,-25.837015; 25.608403
Norhern Cape,Periodical Cour,Modder River,No,No,No,No,053 839 9100,053 833 2576/ 832 7404,3 Sasie Sree Modderrivier,-29.03226; 24.62946
Limpopo,Magisrae Cour,Modimolle,Yes,Yes,No,Yes,014 717 5316,014 717 5369,Cnr Van Emmenis & Dr J S Moroka Sree Modimolle 0510,-24.70482; 28.40787
Limpopo,Periodical Cour,Modjadjiskloof,No,No,No,No,015 307 3770,015 307 4163,Boha Sree Modjadjiskloof,-23.69583; 30.14495
Limpopo,Branch Cour,Mogwadi,No,No,No,No,015 294 6000,015 295 3286,SAPS Mogwadi 182 Keerom Sr Dendron,-23.36444; 29.32263
Limpopo,Magisrae Cour,Mokopane,Yes,Yes,No,No,015 491 2158,015 491 8111,70 Hooge Sree Mokopane 0600,-24.18494; 29.0152
Easern Cape,Magisrae Cour,Moleno,Yes,Yes,No,No,045 967 0026,045 967 0069,c/o Robinson & Smih Sree Moleno 5500,E 26.36311; S -31.3973
Wesern Cape,Magisrae Cour,Monagu,Yes,Yes,No,No,023 614 1105,023 614 3974,39 Pie Reief Sree Monagu 6720,E 20.12327; S -33.78516
KwaZulu-Naal,Magisrae Cour,Mooi River,Yes,Yes,No,No,033 263 1468/ 2767,033 263 2761,15 Cloghon Terrace Mooi River 3300,E 29.9967; S -29.207
Limpopo,Periodical Cour,Mookesi Traffic Conrol Cenre,No,No,No,No,015 395 7901,015 383 9916,Mookesi Weigh Saion Along he R81,-23.59492; 30.09923
Limpopo,Magisrae Cour,Mookgophong,No,Yes,No,No,014 743 2217/8,014 743 0367,47 5h Sree Mookgophong 0560,-24.51813; 28.71221
Wesern Cape,Magisrae Cour,Moorreesburg,Yes,Yes,No,No,022 433 1084/ 3406,022 433 1488,7 Saion Sree Moorreesburg 7310,E 18.66481; S -33.15311
Limpopo,Magisrae Cour,Morebeng,Yes,Yes,Yes,No,015 397 7200,015 874 0537,R36 Uispan Farm Doringboom Road Morebeng  0810,-23.49485; 29.93585
Mpumalanga,Periodical Cour,Morgenzon,No,Yes (Sessions Only),No,No,017 793 3013,017 793 3023,199 De Jager Sree Morgenzon 2315,-26.73589; 29.61921
Norh Wes,Periodical Cour,Morokweng,No,No,No,No,053 998 3303,053 998 3302,Morokweng Heuningvlei Road Morokweng Village,-26.13649; 23.77673
Wesern Cape,Magisrae Cour,Mossel Bay,Yes,Yes,No,No,044 693 3113/ 3140/ 3056,044 693 2891,Louis Fourie Sree Mossel Bay 6500,E 22.11853; S -34.18425
Limpopo,Periodical Cour,Moeema,No,No,No,No,013 264 8201,015 264 8225/ 0865073717,SAPS Moeema,-25.09605; 29.46726
Easern Cape,Deached Cour,Moherwell,Yes,Yes,No,No,041 403 5600,041 403 5697,10 Tynira sree Moherwell,E 25.58362; S -33.79625
Norh Wes,Periodical Cour,Moswedi,No,No,No,No,018 363 5600/1/2/3/4,018 363 3387,DP Moloo Sree Lerao 2880,-26.13649; 23.77673
Easern Cape,Magisrae Cour,Moun Ayliff,Yes,Yes,No,No,039 254 0004,039 254 0003,67 Church Sree Moun Ayliff 4735,E 29.36761; S -30.80725
Easern Cape,Magisrae Cour,Moun Flecher,Yes,Yes,No,No,039 257 0022,039 257 0060,Main Sree (on R56) Moun Flecher 5510,E 28.50616; S -30.69286
Easern Cape,Magisrae Cour,Moun Frere,Yes,Yes,No,No,039 255 0251,039 255 0793,Main Sree Moun Frere 5090,E 28.99232; S -30.90108
KwaZulu-Naal,Branch Cour,Mpumalanga,No,No,No,No,031 736 3471/2/3,031 736 3475,1 Kelly Sree Hammarsdale 3700,E 30.65599; S -29.79584
Easern Cape,Magisrae Cour,Mqanduli,Yes,Yes,No,No,047 573 0002,047 573 0104,68 Main Sree Mqanduli 5080,E 28.76251; S -31.81968
KwaZulu-Naal,Magisrae Cour,Msinga,Yes,Yes,No,No,033 493 0001/ 0005,033 493 0030,Tugela Ferry Village Main Road Msinga 3010,E 30.55508; S -28.74837
Easern Cape,Magisrae Cour,Mhaha,Yes,Yes,No,No,047 531 1705/ 0538/ 1414,047 531 1704,Cnr Leeds & Owen Srees Umaa 50999,E 28.78766; S -31.59055
Easern Cape,Periodical Cour,Monsasa,No,Yes (Sessions Only),No,No,See Lusikisiki,No,n/a,E 29.7023; S -31.20763
KwaZulu-Naal,Magisrae Cour,Mubauba,Yes,Yes,No,No,035 550 0065,035 550 1526,55E Old Riverview Road Mubauba 3935,E 32.18453; S -28.42036
KwaZulu-Naal,Magisrae Cour,Munzini,Yes,Yes,No,No,035 340 1415,035 340 1253,10 Helyxa0Huchinson Sree Munzini 3867,E 31.75679; S -28.95224
KwaZulu-Naal,Periodical Cour,Muden,No,No,No,No,036 354 1621,036 354 1090,Reief Sree Weenen 3325,No
Wesern Cape,Periodical Cour,Muizenberg,No,No,No,No,021 788 9742,021 788 9852,Talma Road Muizenberg,No
Wesern Cape,Magisrae Cour,Murraysburg,Yes,Yes,No,No,049 844 0001,049 844 0389,14 Church Sree Murraysburg 6995,E 23.7626; S -31.96287
Limpopo,Magisrae Cour,Musina,Yes,Yes,No,Yes,015 534 2146/7,015 534 0241,1 Flax Avenue Musina 0900,-22.34408; 30.04502
Limpopo,Periodical Cour,Musina Traffic Conrol Cenre,No,No,No,No,015 534 2146/7,015 534 0241,Musina Tesing Ground N1,-22.339901; 30.04365
Limpopo,Magisrae Cour,Muale,Yes,Yes,No,No,015 967 0045/0038/ 0077,015 967 0085,Nex o Muale Police Saion Muale 0956,-22.7356; 30.52201
Limpopo,Magisrae Cour,Namakgale,Yes,Yes,No,No,015 769 1540/1424,015 769 2561,c/o Calvin Ngobeni & Ackson Malai Sree Namakgale 1391,-23.93204; 31.02817
KwaZulu-Naal,Branch Cour,Ncoshane,No,No,No,No,034 316 1020,034 316 1030,B219 Emgazini Sr Pongola 3170,E 31.58298; S -27.34603
KwaZulu-Naal,Magisrae Cour,Ndwedwe,Yes,Yes,No,No,032 532 1035 / 533 4013,032 533 4013 Tel/Fax,Ndwe Cour House Main Road Ndwedwe 4342,E 30.93638; S -29.51556
Limpopo,Magisrae Cour,Nebo,Yes,Yes,Yes,No,013 264 8201,015 264 8225/ 0865073717,Nex o Nebo Pos Office Nebo 1059,-24.90708; 29.76015
Easern Cape,Branch Cour,Nerina One Sop Youh Jusice Cenre,No,No,No,No,See Por Elizabeh,No,Gumper Sree,E 25.56986; S -33.9348
Easern Cape,Deached Cour,New Brighon,No,Yes,No,No,041 454 1122,041 454 7351,Mai Road New Brighon PE 6056,E 25.58482; S -33.90669
KwaZulu-Naal,Magisrae Cour,New Hanover,Yes,Yes,No,No,033 502 0002/3,033 502 0340,Main Road New Hanover 3230,E 30.5295; S -29.35189
KwaZulu-Naal,Magisrae Cour,Newcasle,Yes,Yes,No,No,034 312 1166/7/8,034 315 1607,37 Murchison Sree Newcasle 2940,E 29.93178; S -27.75562
Gaueng,Branch Cour,Newlands,No,No,No,No,011 477 7252,011 477 8250,186 Main Road Newlands 2092,-26.17747; 27.97194
KwaZulu-Naal,Periodical Cour,Newlands Wes,No,No,No,No,032 439 1711,032 533 9946,Loop Wes Sr Newlands Wes,E 30.95591; S -29.78147
Easern Cape,Magisrae Cour,Ngcobo,Yes,Yes,No,No,047 548 1117,047 548 1024,High Sree Engcobo 6050,E 27.99888; S -31.67577
Mpumalanga,Periodical Cour,Ngodwana,No,No,No,No,013 753 6200/99,013 755 4077/1629,2 Ensra Sree SAPS Ngodwana,-25.5708; 30.67428
KwaZulu-Naal,Periodical Cour,Ngome,No,No,No,No,034 907 5015,034 907 5901,Main Road Nongoma o Vryheid Ngome,E 31.38972; S -27.83246
Easern Cape,Magisrae Cour,Ngqamakhwe,Yes,Yes,No,No,047 487 0005,047 487 0172,Blyhe sree  Nqamakwe 4990,E 27.94162; S -32.20293
Easern Cape,Magisrae Cour,Ngqeleni,Yes,Yes,No,No,047 568 0002,047 568 0006,76 King George Sree Ngqeleni 5140,E 29.03153; S -31.67339
KwaZulu-Naal,Branch Cour,Ngwelezane,No,No,No,No,035 794 2306/ 2360,035 794 2309,Ngwelezana Road Enseleni 3910,E 31.86479; S -28.77398
Norhern Cape,Periodical Cour,Niekerkshoop,No,No,No,No,053 343 0007,053 343 0531,3 Hoof Sree Niekerkshoop,-29.32615; 22.83894
Norhern Cape,Periodical Cour,Niewoudville,No,Yes (Sessions Only),No,No,027 341 1017/ 2920,027 341 1483,210 Neehling Sree Nieuwoudville,-31.37408; 19.11713
Gaueng,Deached Cour,Nigel,Yes,Yes,No,No,011 814 8261-3,011 814 5488,Cnr 4h Avenue & Church Sree Nigelxa01490,-26.42122; 28.47182
KwaZulu-Naal,Magisrae Cour,Nkandla,Yes,Yes,No,No,035 833 0028,035 833 0370,Lo 208 Ndlangubo Sree Nkandla 3855,E 31.0878; S -28.62081
Limpopo,Magisrae Cour,Nkowankowa,Yes,Yes,No,No,015 303 1721/2770,015 303 2791,1513A Hlanganani Sree Leaba 0870,-23.88309; 30.27695
Easern Cape,Periodical Cour,Nobanda,No,No,No,No,See Alice,No,No,No
KwaZulu-Naal,Magisrae Cour,Nongoma,Yes,Yes,No,No,035 831 0302/3,035 831 0334,Lo 96 Main Sree Nongoma 3950,E 31.64644; S -27.89943
Limpopo,Magisrae Cour,Norham,No,Yes,No,No,014 777 1543,014 772xa0 2523,24 Dwars Sree C/o Bris Rd & Vener Sree Norham,-24.95815; 27.26432
Norhern Cape,Magisrae Cour,Noupoor,Yes,Yes,No,No,049 843 1032/1310,049 843 1079,54 Voorrekker Sree Noupoor 5950,-31.18098; 24.95526
KwaZulu-Naal,Magisrae Cour,Nquu,Yes,Yes,No,No,034 271 1910,034 271 0704,Lo 69 Babanango Road Nquu 3135,E 30.67807; S -28.21413
KwaZulu-Naal,Branch Cour,Nsimbini,No,No,No,No,031 900 0070/1,031 900 0040,Nsimbini Reserve,E 30.85618; S -30.00026
KwaZulu-Naal,Periodical Cour,Nsuze,No,No,No,No,032 481 2001,032 481 2044,n/a,E 30.94316; S -29.37684
Easern Cape,Magisrae Cour,Nabahemba,Yes,Yes,No,No,045 846 9358,045 846 9357,1 Main Sree Nabahemba 5528,E 26.45268; S -31.95138
Mpumalanga,Periodical Cour,Nhorwane,No,No,No,No,017 773 0050,017 773 0196,Greylingsad SAPS 101 Dreyer Sree Greylingsad2415,-26.74201; 28.76544
KwaZulu-Naal,Magisrae Cour,Nuzuma,Yes,Yes,Yes,No,031 509 1405,031 509 1132,5 Dalmany Road Nuzuma 4360,No
Wesern Cape,Periodical Cour,Nuwerus,No,No,No,No,027 219 1002,027 219 1563,c/o Madelief & R363 Nuwerus,E 18.35721; S -31.14976
Wesern Cape,Branch Cour,Nyanga,No,No,No,No,021 372 0902,021 371 3774,c/o New Eisleben & Govener Mbeki Road Philippi 7802,E 18.59344; S -34.00065
Gaueng,Magisrae Cour,Oberholzer,Yes,Yes,No,Yes,018 788 2341-7,018 786 2269,cnr Oranje &  Van Zyl Smi Sree Oberholzer 2499,-26.34875; 27.39068
Free Sae,Magisrae Cour,Odendaalsrus,Yes,Yes,No,No,057 354 1294,057 354 1100,Weeber Sree Odendaalsrus 9480,E 26.68662; S -27.8732
Mpumalanga,Branch Cour,Ogies,No,No,No,No,013 656 2221/ 690 2005,013 656 5023,nu 1 Main Road Ogies,-26.05071; 29.05317
Limpopo,Periodical Cour,Ohrigsad,No,No,No,No,013 235 2325/6/7,013 235 3411,1 Main Sree Ohrigsad,-24.75323; 30.55849
Norhern Cape,Periodical Cour,Olifanshoek,No,Yes (Sessions Only),No,No,053 331 0018/0295,053 331 0261,5 Cox Sree Olifanshoek 8450,-27.94338; 22.73748
Norh Wes,Deached Cour,Orkney,No,Yes,No,No,018 473 2596,018 462 4275,Pamore Road Orkney 2620,-25.83137; 25.61075
Gaueng,Branch Cour,Orlando,No,Yes (Sessions Only),No,No,011 935 1205 / 2961,011 935 2961,c/o Mooki and Rahebe Sree Orlando Eas 1806,-26.2369; 27.92024
Norh Wes,Deached Cour,Oosdal,No,Yes,No,No,018 571 0022,018 571 0077,42 Voorrekker Sree Oosdal 2610,-26.81162; 26.00131
Wesern Cape,Magisrae Cour,Oudshoorn,Yes,Yes,No,No,044 203 6400/10,044 272 5842,120 S John Sree Oudshoorn 6620,E 22.20395; S -33.59042
Wesern Cape,Magisrae Cour,Paarl,Yes,Yes,Yes,No,021 872 3127,021 872 9116,c/o Main and Marke sree Paarl 7622,E 18.96939; S -33.73793
Gaueng,Magisrae Cour,Palm Ridge,Yes,Yes,Yes,Yes,010 232 2000/2001,N/A as ye,Cnr K146 road and Palm Ridge road Palm Ridge Alberon,-26.385538; 28.144237
Norhern Cape,Branch Cour,Pampiersad,No,No,No,No,053 996  2385/ 1796,053 996 1987,335 Mangope Avenue Pampiersad 8566,-27.77947; 24.69964
Wesern Cape,Branch Cour,Parow,No,No,Yes,No,021 936 9400,021 939 5441,Arnold Wilhelm Sreexa0Parow 7500,E 18.59593; S -33.90439
Free Sae,Magisrae Cour,Parys,Yes,Yes,No,No,056 811 2147,056 811 2147 Tel/Fax,11 Phillip Sree Parys 9585,E 27.45694; S -26.89879
Easern Cape,Periodical Cour,Paensie,No,No,No,No,See Hankey,No,Aalwyn Sree,E 24.81525; S -33.75632
Easern Cape,Periodical Cour,Paerson,No,No,No,No,See Alexandria,No,Griffihs Sree,E 25.96964; S -33.43974
Free Sae,Periodical Cour,Paul Roux,No,Yes (Sessions Only),No,No,058 471 0301,058 471 0752 or 0865072240 or 0866291469,47 Voorrekker Sree Paul Roux 9800,E 27.95175; S -28.29848
KwaZulu-Naal,Magisrae Cour,Paulpieersburg,Yes,Yes,No,No,034 995 1003,034 995 1053,33 Kruger Sree Paul Pieersburg 3180,E 30.81754; S -27.42383
Easern Cape,Magisrae Cour,Pearson,Yes,Yes,No,No,042 246 1114,042 246 1132,45 Voorrekker Sree Pearson 5860,E 25.13893; S -32.58199
Easern Cape,Magisrae Cour,Peddie,Yes,Yes,No,No,040 673 3740,040 673 3047,Main Sree Peddie 5640,E 27.12086; S -33.19846
Mpumalanga,Periodical Cour,Perdekop,No,No,No,No,017 735 2303,017 735 2295,1 Durban Sree Perdekop,-27.16822; 29.62184
Free Sae,Periodical Cour,Perus Seyn,No,Yes,No,No,058 871 3135/6,058 871 3194,19 Reiz Sree Perus Seyn 9640,E 28.13123; S -27.64724
Free Sae,Magisrae Cour,Perusburg,Yes,Yes,No,No,053 574 0122 / 0316,053 574 0122,27 Boshoff Sree Perusburg 9932,E 25.41424; S -29.11493
Norhern Cape,Periodical Cour,Perusville,No,No,No,No,053 665 0006,053 665 0066,Burg Sree Perusville,-30.07728; 24.65855
Limpopo,Magisrae Cour,Phalaborwa,Yes,Yes,No,Yes,015 781 2731,015 781 1819,c/o Sealene Sree & Palm Road Phalaborwa 1390,-23.95197; 31.13567
Free Sae,Magisrae Cour,Philippolis,Yes,Yes,No,No,051 773 0002,051 773 0028,65 Voorrekker Sree Philippolis 9970,E 25.2725; S -30.26322
Norhern Cape,Magisrae Cour,Philipsown,Yes,Yes,No,No,053 665 0006,053 665 0066,17 Du Plessis Sree Philipsown 8795,-30.43572; 24.47349
KwaZulu-Naal,Branch Cour,Phoenix,No,No,No,No,031 5078566,031 5076566,c/o Phoenix Highway & Pegasus Drive Phoenix 4068,E 31.00731; S -29.70091
KwaZulu-Naal,Branch Cour,Phungashe,No,No,No,No,039 835 0031,039 835 1096,Luphepheni Locaionxa0 ST Faihs Road Highflas 3306,E 30.15289; S -30.42555
Free Sae,Magisrae Cour,Phuhadijhaba,Yes,Yes,Yes,No,058 713 0071,058 713 6413,c/o Moremoholo & Seai Sree Sesing Complex Wisieshoek 9870,E 28.80829; S -28.53581
Limpopo,Periodical Cour,Pienaars River,No,No,No,No,014 736 2231,014 736 5210/0865075648,R101 Warmbad Pienaarsrivier,-25.20261; 28.29626
Norh Wes,Periodical Cour,Pie Plessis,No,No,No,No,053 928 4209,053 927 2309,n/a,-26.16245; 24.40736
KwaZulu-Naal,Magisrae Cour,Pieermarizburg,Yes,Yes,Yes,No,033 355 5100/ 5172,033 345 0324,c/o Church & Oo Sree Pieermarizburg 3201,E 30.37971; S -29.59972
Wesern Cape,Magisrae Cour,Pikeberg,Yes,Yes,No,No,022 913 1110/3179,022 913 2155,44 Voorrekker Sree Pikeberg 7320,E 18.75451; S -32.90652
Mpumalanga,Branch Cour,Pilgrim’s Res,No,No,No,No,013 767 1221,013 767 1221 Tel/Fax,Cour House Main Sree Pilgrims Res,-24.90928; 30.75679
KwaZulu-Naal,Magisrae Cour,Pineown,Yes,Yes,No,No,031 710 7800,031 709 0339,5 Chancery Lane Pineown 3600,E 30.86096; S -29.81865
KwaZulu-Naal,Branch Cour,Plessislaer,No,No,No,No,033 398 1390/1116/1167,033 398 6923,Old Main Road,E 30.33356; S -29.64589
Norhern Cape,Deached Cour,Pofadder,Yes,Yes,No,No,054 933 0021,054 933 0600,Skool Sree Pofadder 8890,-29.12479; 19.39461
KwaZulu-Naal,Branch Cour,Poin,No,No,No,No,See Durban,See Durban,Iner-Lia Poin SAPS on 165 Prince Sree Durban,No
Limpopo,Magisrae Cour,Polokwane,Yes,Yes,No,Yes,015 294 6000,015 294 6074,34 Landdros Mare sree Polokwane 0699,-23.91451; 29.4541
KwaZulu-Naal,Periodical Cour,Pomeroy,No,No,No,No,033 493 0001/ 0005,033 493 0030,7 Polinghome Sr Pomeroy,E 30.42193; S -28.55156
KwaZulu-Naal,Magisrae Cour,Pongola,Yes,Yes,No,No,034 413 1350 / 1364,034 413 2098,Koppie Alleen Sr  Pongola 3170,E 31.61894; S -27.384
Easern Cape,Magisrae Cour,Por Alfred,Yes,Yes,No,No,046 624 1144,046 624 5730,Pascoe Crescen  Por Alfred 5325,E 26.89058; S -33.59167
Easern Cape,Magisrae Cour,Por Elizabeh,Yes,Yes,Yes,No,041 502 5133/ 5111/ 5214,041 484 5638,584 Govan Mbeki Sree Norh End Por Elizabeh 6056,E 25.60463; S -33.94436
Norhern Cape,Periodical Cour,Por Nolloh,No,Yes (Sessions Only),No,No,027 851 8313,027 851 8017,Kuswag Sree Por Nolloh,-29.25162; 16.86838
