Region	District	court_type	office_name	equality_court	small_claims_court	sexual_offense_court	telephone	fax	Address	GPS
 ' Eastern Cape']	 'Hankey']	 'Magistrate Court']	" <span class=""officenamecolor"">Hankey</span>]"	 'Yes ']	 'Yes']		 '042 284 0303']	 '042 284 0093']	 'Phillip Street, Hankey 6350\t']	 'E 24.8843; S -33.83365\t']
 ' Northern Cape']	 'Hanover']	 'Magistrate Court']	" <span class=""officenamecolor"">Hanover</span>]"	 'Yes ']	 'Yes']		 '053 643 0001']	 '053 643 0605']	 '1 Church Street, Hanover, 7005\t']	 '-31.06662; 24.44278\t']
 ' KwaZulu-Natal']	 'Alfred']	 'Magistrate Court']	" <span class=""officenamecolor"">Harding</span>]"	 'Yes ']	 'Yes']		 '039 433 1009']	 '039 433 1900']	 'Main Road, Harding 4680\t']	 'E 29.88255; S -30.57632\t']
 ' Free State']	 'Harrismith']	 'Magistrate Court']	" <span class=""officenamecolor"">Harrismith</span>]"	 'Yes ']	 'Yes']		 '058 623 0627']	 '058 623 0669']	 '39 Southey Street, Harrismith 9880\t']	 'E 29.12825; S -28.26868\t']
 ' North West']		 'Periodical Court']	" <span class=""officenamecolor"">Hartbeestpoort Dam</span>]"	 'No ']	 'No']		 '012 252 3223']	 '012 252 3223']	 'Cnr Van Velden & Court Street, Brits 0250\t']	 '-25.634779; 27.779294\t']
 ' North West']		 'Periodical Court']	" <span class=""officenamecolor"">Harteeesfontein </span>]"	 'No ']	 'No']		 '018 464 9200 018 464 9211']	 '018 462 4275']	 'c/o Du Toit Street and Voortrekker Street, Hartebeesfontein \t']	 '-26.75795; 26.42585\t']
 ' Northern Cape']	 'Hartswater']	 'Magistrate Court']	" <span class=""officenamecolor"">Hartswater</span>]"	 'Yes ']	 'Yes']		 '053 474 0922']	 '053 474 0941']	 'c/o Jan Viljoen & Strydom Street, Hartswater 8570\t']	 '-27.75307; 24.80513\t']
 ' Gauteng']		 'Branch Court']	" <span class=""officenamecolor"">Hatfield</span>]"	 'No ']	 'No']		 '012 342 0059/ 012 319 4136 (PTA)']	 '012 342 9961']	 'Cnr Burnette & Park Street, Hatfield 0083\t']	 '-25.75026; 28.22885\t']
 ' Mpumalanga']		 'Branch Court']	" <span class=""officenamecolor"">Hazyview</span>]"	 'No ']	 'No']		 '013 751 1147/8']	 '013 750 0426']	 'Near SAPS, Stand 16, Chief Mgiyeni Khumalo Drive,\xa0White River 1240\t']	 '-25.046119; 31.128727\t']
 ' Gauteng']	 'Heidelberg (GP)']	 'Magistrate Court']	" <span class=""officenamecolor"">Heidelberg [GP]</span>]"	 'Yes ']	 'Yes']		 '016 349 1930-3/ 6655']	 '016 349 6386']	 '62 Begeman & Ueckerman Street, Heidelberg 1438\t']	 '-26.49941; 28.35462\t']
 ' Western Cape']	 'Heidelberg [WC]']	 'Magistrate Court']	" <span class=""officenamecolor"">Heidelberg [WC]</span>]"	 'Yes ']	 'Yes']		 '028 722 1927/2874']	 '028 722 2374']	 '52 Van Riebeeck Street, Heidelberg 6665\t']	 'E 20.95606; S -34.08918\t']
 ' Free State']	 'Heilbron, Petrus Steyn (Sub)']	 'Magistrate Court']	" <span class=""officenamecolor"">Heilbron</span>]"	 'Yes ']	 'Yes']		 '058 852 2004']	 '058 852 1504']	 '32 Els Street, Heilbron 9650\t']	 'E 27.96705; S -27.28347\t']
 ' Mpumalanga']	 'Middelburg']	 'Branch Court']	" <span class=""officenamecolor"">Hendrina</span>]"	 'No ']	 'Yes (Sessions Only)']		 '013 293 0054']	 '013 293 0521']	 '35 Church Street, Hendrina 1095\t']	 '-26.16026; 29.71638\t']
 ' Free State']	 'Hennenman']	 'Magistrate Court']	" <span class=""officenamecolor"">Hennenman</span>]"	 'Yes ']	 'Yes']		 '057 573 1137']	 '057 573 2447']	 '3 Botha Street, Hennenman 9445\t']	 'E 27.02596; S -27.97909\t']
 ' Western Cape']	 'Hermanus']	 'Magistrate Court']	" <span class=""officenamecolor"">Hermanus</span>]"	 'Yes ']	 'Yes']		 '028 312 3713']	 '028 313 1034']	 '63 Main Road, Hermanus 7200\t']	 'E 19.23684; S -34.41911\t']
 ' Free State']	 'Boshof']	 'Periodical Court']	" <span class=""officenamecolor"">Hertzogville</span>]"	 'No ']	 'Yes (Sessions Only)']		 '053 421 9016']	 '053 421 9016']	 '10 Strauss Street, Hertzogville 9482\t']	 'E 25.50411; S -28.12734\t']
 ' Northern Cape']		 'Periodical Court']	" <span class=""officenamecolor"">Heunigvlei</span>]"	 'No ']	 'No']		 '053 773 1868/ 1869/ 1307/ 1550']	 '053 773 1502/1156']	 'n/a\t']	 '-26.29345; 23.17933\t']
 ' KwaZulu-Natal']		 'Periodical Court']	" <span class=""officenamecolor"">Hibberdene</span>]"	 'No ']	 'No']		 '039 978 9400']	 '039 978 3258']	 '11 Minerva Cresent, Hibberdene\t']	 'E 30.57074; S -30.57749\t']
 ' KwaZulu-Natal']		 'Periodical Court']	" <span class=""officenamecolor"">Highflats</span>]"	 'No ']	 'No']		 'See Ixopo']	 'See Ixopo']	 'Main Road, Highflats\t']	 'E 30.19244; S -30.25927\t']
 ' Gauteng']		 'Branch Court']	" <span class=""officenamecolor"">Hillbrow</span>]"	 'No ']	 'No']		 '011 642 4441/2']	 '011 642 2025 /0865071283']	 'c/o 32 Sam Hancock & Queen Street, Hillbrow 2038\t']	 '-26.18722; 28.04465\t']
 ' KwaZulu-Natal']	 'Underberg']	 'Magistrate Court']	" <span class=""officenamecolor"">Himeville</span>]"	 'Yes ']	 'Yes']		 '033 702 1303']	 '033 702 1430']	 '5 George Street, Himeville 3256\t']	 'E 29.51316; S -29.74987\t']
 ' KwaZulu-Natal']	 'Hlabisa']	 'Branch Court']	" <span class=""officenamecolor"">Hlabisa</span>]"	 'No ']	 'No']		 '035 838 1022/3/4']	 '035 838 1179/1027']	 'Lot 318 Saunders Street, Hlabisa 3937\t']	 'E 31.87623; S -28.14621\t']
 ' KwaZulu-Natal']	 'Polela']	 'Magistrate Court']	" <span class=""officenamecolor"">Hlanganani [KZN]</span>]"	 'Yes ']	 'Yes']		 '039 832 0032']	 '039 832 9461']	 'Bulamain Road, Polela Centre, Hlanganani Establishment, Hlanganani 3244\t']	 'E 29.85464; S -29.76427\t']
 ' KwaZulu-Natal']		 'Periodical Court']	" <span class=""officenamecolor"">Hlobane</span>]"	 'No ']	 'No']		 '034 981 4911/4912/9809']	 '034 980 9203']	 'n/a\t']	 'E 31.00982; S -27.73714\t']
 ' KwaZulu-Natal']		 'Periodical Court']	" <span class=""officenamecolor"">Hluhluwe</span>]"	 'No ']	 'No']		 '035 550 0065']	 '035 550 1526']	 'Old Main Road, Hluhluwe\t']	 'E 32.26811; S -28.01969\t']
 ' Free State']	 'Ladybrand']	 'Periodical Court']	" <span class=""officenamecolor"">Hobhouse</span>]"	 'No ']	 'Yes (Sessions Only)']		 '051 983 0110']	 '051 983 0031']	 '27 Muller Street, Hobhouse 9740\t']	 'E 27.14363; S -29.52988\t']
 ' Limpopo']	 'Phalaborwa']	 'Branch Court']	" <span class=""officenamecolor"">Hoedspruit</span>]"	 'No ']	 'Yes (Sessions Only)']		 '015 781 2731']	 '015 781 1819']	 'c/o Moose and Ohrigstad Street (R527), Hoedspruit\t']	 '-24.35398; 30.951\t']
 ' Eastern Cape']	 'Hofmeyr']	 'Magistrate Court']	" <span class=""officenamecolor"">Hofmeyr</span>]"	 'Yes ']	 'Yes']		 '048 885 0007']	 '048 885 0288 Tel/Fax']	 'Voortrekker Street, Hofmeyr 5930\t']	 'E 25.8038; S -31.65331\t']
 ' Free State']	 'Hoopstad, Wesselsbron']	 'Magistrate Court']	" <span class=""officenamecolor"">Hoopstad</span>]"	 'Yes ']	 'Yes']		 '053 444 1882']	 '053 444 1743']	 '12 Van Zyl Street, Hoopstad 9479\t']	 'E 25.90564; S -27.83609\t']
 ' Western Cape']	 'Hopefield']	 'Magistrate Court']	" <span class=""officenamecolor"">Hopefield</span>]"	 'Yes ']	 'Yes']		 '022 723 0506']	 '022 723 1522/0866445110']	 '24 Voortrekker Road, Hopefield 7355\t']	 'E 18.35107; S -33.06274\t']
 ' Northern Cape']	 'Hopetown']	 'Magistrate Court']	" <span class=""officenamecolor"">Hopetown</span>]"	 'Yes ']	 'Yes']		 '053 203 0000']	 '053 203 0453']	 '1 Cathcart Street, Hopetown, 8750\t']	 '-29.62108; 24.08467\t']
 ' KwaZulu-Natal']	 'Lions River']	 'Magistrate Court']	" <span class=""officenamecolor"">Howick</span>]"	 'Yes ']	 'Yes']		 '033 330 2117/ 083 658 4359']	 '033 330 7155']	 'Morling Street, Howick 3290\t']	 'E 30.23121; S -29.48788\t']
 ' Eastern Cape']	 'Humansdorp']	 'Magistrate Court']	" <span class=""officenamecolor"">Humansdorp</span>]"	 'Yes ']	 'Yes']		 '042 291 0259']	 '042 291 0732']	 'Du Plessis Street, Humansdorp 6300\t']	 'E 24.77218; S -34.02845\t']
 ' North West']		 'Branch Court']	" <span class=""officenamecolor"">Ikageng</span>]"	 'No ']	 'No']		 'See Potchefstroom']	 'See Potchefstroom']	 'SAPS Ikageng, Cnr Lekhele & Mogosti Street, Potchefstroom\t']	 '-26.719846; 27.062409\t']
 ' KwaZulu-Natal']	 'Impendle']	 'Magistrate Court']	" <span class=""officenamecolor"">Impendle</span>]"	 'Yes ']	 'Yes']		 '033 996 0604/0015']	 '033 996 0462']	 '23 Mafahlane Road, Impendle 3227\t']	 'E 29.86722; S -29.5986\t']
 ' Eastern Cape']	 'Indwe']	 'Magistrate Court']	" <span class=""officenamecolor"">Indwe</span>]"	 'Yes ']	 'Yes']		 '045 952 1014']	 '045 952 1132']	 '23 Voortrekker Street, Indwe 5445\t']	 'E 27.33987; S -31.46951\t']
 ' KwaZulu-Natal']	 'Ingwavuma']	 'Magistrate Court']	" <span class=""officenamecolor"">Ingwavuma</span>]"	 'Yes ']	 'Yes']		 '035 591 0105/6']	 '035 591 0071']	 'Main Road, Ingwavuma 3968\t']	 'E 31.99678; S -27.13309\t']
 ' KwaZulu-Natal']		 'Branch Court']	" <span class=""officenamecolor"">Inkanyezi</span>]"	 'No ']	 'No']		 '035 474 2171/2']	 '035 474 4745']	 'King Dinuzulu Township, Iknayezi Street, Eshowe 3815\t']	 'E 31.49991; S -28.8899\t']
 ' Eastern Cape']		 'Periodical Court']	" <span class=""officenamecolor"">Insikeni</span>]"	 'No ']	 'No']		 'See Bizana']		 'n/a\t']	 'E 29.55799; S -30.13761\t']
 ' KwaZulu-Natal']		 'Periodical Court']	" <span class=""officenamecolor"">Inyono</span>]"	 'No ']	 'No']		 '035 340 1415']	 '035 340 1253']	 'n/a\t']	 'E 31.46347; S -29.0798\t']
 ' North West']	 'Itsoseng']	 'Detached Court']	" <span class=""officenamecolor"">Itsoseng</span>]"	 'Yes ']	 'Yes']		 '018 338 0100']	 '018 338 2308']	 '2338 Ramaboa Street Zone 3, Itsoseng 2744\t']	 '-26.50452; 25.37035\t']
 ' KwaZulu-Natal']	 'Ixopo']	 'Magistrate Court']	" <span class=""officenamecolor"">Ixopo</span>]"	 'Yes ']	 'Yes']		 '039 834 2017/8; 834 2173/4/5']	 '039 834 1960']	 '52 Margaret Street, Ixopo 3276\t']	 'E 30.05953; S -30.15172\t']
 ' KwaZulu-Natal']		 'Branch Court']	" <span class=""officenamecolor"">Izingolweni</span>]"	 'No ']	 'No']		 '039 534 1100']	 '039 534 1168']	 'Main Road, Izingolweni 4260\t']	 'E 30.12892; S -30.78542\t']
 ' Free State']	 'Jacobsdal']	 'Magistrate Court']	" <span class=""officenamecolor"">Jacobsdal</span>]"	 'Yes ']	 'Yes']		 '053 591 0034']	 '053 591 0554 / 0866447672']	 '6 Andries Pretorius Street, Jacobsdal 8710\t']	 'E 24.77447; S -29.13057\t']
 ' Free State']	 'Jagersfontein']	 'Magistrate Court']	" <span class=""officenamecolor"">Jagersfontein</span>]"	 'Yes ']	 'Yes']		 '051 724 0002']	 '051 723 0103']	 '12 Klooster Convent Street, Jagersfontein 9974\t']	 'E 25.42807; S -29.75943\t']
 ' Eastern Cape']	 'Aliwal North']	 'Periodical Court']	" <span class=""officenamecolor"">Jamestown</span>]"	 'No ']	 'Yes (Sessions Only)']		 '051 641 0712']	 '051 641 0931']	 'Aliwal Road , Jamestown 9742\t']	 'E 26.81013; S -31.1203\t']
 ' Northern Cape']	 'Jan Kempdorp']	 'Detached Court']	" <span class=""officenamecolor"">Jan Kempdorp</span>]"	 'Yes ']	 'Yes']		 '053 456 0361']	 '053 456 0051']	 '2 Piet Retief Street, Jan Kempdorp, 8550\t']	 '-27.9164; 24.83714\t']
 ' Eastern Cape']	 'Jansenville']	 'Magistrate Court']	" <span class=""officenamecolor"">Jansenville</span>]"	 'Yes ']	 'Yes']		 '049 836 0012']	 '049 836 0260']	 '46 Main Street, Jansenville 6265\t']	 'E 24.66629; S -32.9459\t']
 ' Gauteng']		 'Branch Court']	" <span class=""officenamecolor"">Jeppe</span>]"	 'No ']	 'No']		 '011 618 4516']	 '011 614 5622']	 '225 Market Street, Jeppestown 2043\t']	 '-26.20242; 28.06043\t']
 ' North West']		 'Periodical Court']	" <span class=""officenamecolor"">Jericho</span>]"	 'No ']	 'No']		 '012 700 8255']	 '012 703 2223/3189']	 '1874 Vuka Section, Jericho\t']	 '-25.34307; 27.81429\t']
 ' Gauteng']	 'Soweto']	 'Magistrate Court']	" <span class=""officenamecolor"">Johannesburg</span>]"	 'Yes ']	 'Yes']	 'Yes']	 '011 491 5000 / 011 639 0301 Family Court']	 '011 834 1222 /011 836 0671 Family Court']	 '26 Fox Street (Cnr Fox & West Street), Johannesburg 2000\t']	 '-26.20798; 28.03468\t']
 ' Eastern Cape']	 'Joubertina']	 'Magistrate Court']	" <span class=""officenamecolor"">Joubertina</span>]"	 'Yes ']	 'Yes']		 '042 273 1306']	 '042 273 1128']	 '8 Van Riebeeck Street, Joubertina 5235\t']	 'E 23.85433; S -33.82494\t']
 ' Mpumalanga']	 'Nsikazi']	 'Magistrate Court']	" <span class=""officenamecolor"">Kabokweni</span>]"	 'Yes ']	 'Yes']		 '013 796 0261']	 '013 796 0881/ 0865077652']	 'Stand 1212, Kabokweni 1245\t']	 '-25.347; 31.12391\t']
 ' Gauteng']	 'Kagiso']	 'Detached Court']	" <span class=""officenamecolor"">Kagiso</span>]"	 'Yes ']	 'Yes']		 '011 410 1485']	 '011 410 0552']	 '23 Kagiso Avenue, Krugersdorp 1739\t']	 '-26.15126; 27.78797\t']
 ' Northern Cape']	 'Kakamas']	 'Detached Court']	" <span class=""officenamecolor"">Kakamas</span>]"	 'Yes ']	 'Yes']		 '054 431 0705']	 '054 431 1306']	 '26 Voortrekker Street, Kakamas 8870\t']	 '-28.77405; 20.62247\t']
 ' Mpumalanga']		 'Branch Court']	" <span class=""officenamecolor"">Kanyamazane</span>]"	 'No ']	 'No']		 '013 796 0261']	 '013 796 0881/ 0865077652']	 'Cnr Cobra & Wasp Street, Kanyamazane\t']	 '-25.46513; 31.18456\t']
 ' Eastern Cape']	 'Humansdorp']	 'Periodical Court']	" <span class=""officenamecolor"">Kareedouw</span>]"	 'No ']	 'Yes (Sessions Only)']		 'See Humansdorp']		 '13 Eendracht Street\t']	 'E 24.29437; S -33.95385\t']
 ' Northern Cape']	 'Kathu']	 'Detached Court']	" <span class=""officenamecolor"">Kathu</span>]"	 'Yes ']	 'Yes']	 'Yes']	 '053 723 3221']	 '053 723 3223']	 'Hendrik van Eck Road, Kathu, 8446\t']	 '-27.69962; 23.04522\t']
 ' Eastern Cape']		 'Periodical Court']	" <span class=""officenamecolor"">Kei Mouth</span>]"	 'No ']	 'No']		 'See Komga']		 'Main Street (R349)\t']	 'E 28.37484; S -32.67945\t']
 ' Northern Cape']	 'Keimoes']	 'Detached Court']	" <span class=""officenamecolor"">Keimoes</span>]"	 'Yes ']	 'Yes']		 '054 461 1221']	 '054 461 1582']	 '42 Main Street, Keimoes, 8860\t']	 '-28.70675; 20.96795\t']
 ' Eastern Cape']	 'Keiskammahoek']	 'Magistrate Court']	" <span class=""officenamecolor"">Keiskammahoek</span>]"	 'Yes ']	 'Yes']		 '040 658 0204']	 '040 658 0395']	 'Cemetery Avenue , Keiskammahoek 5670\t']	 'E 27.14602; S -32.67995\t']
 ' Gauteng']	 'Kempton Park']	 'Magistrate Court']	" <span class=""officenamecolor"">Kempton Park</span>]"	 'Yes ']	 'Yes']		 '011 395 6300']	 '011 394 2507']	 '17 Monument Road, Kempton Park 1620\t']	 '-26.10212; 28.2326\t']
 ' Northern Cape']	 'Kenhardt']	 'Magistrate Court']	" <span class=""officenamecolor"">Kenhardt</span>]"	 'Yes ']	 'Yes']		 '054 651 0024']	 '054 651 0232']	 'Brussel Street, Kenhardt, 8900\t']	 '-29.34709; 21.15304\t']
 ' Eastern Cape']		 'Periodical Court']	" <span class=""officenamecolor"">Kenton on Sea</span>]"	 'No ']	 'No']		 'See Port Alfred']		 'Oettle Street\t']	 'E 26.66734; S -33.68039\t']
 ' Free State']		 'Periodical Court']	" <span class=""officenamecolor"">Kestell</span>]"	 'No ']	 'No']		 '058 653 1116']	 '058 653 1680']	 '53 Van Rensburg Street, Kestell 9860\t']	 'E 28.70317; S -28.31196\t']
 ' Gauteng']		 'Branch Court']	" <span class=""officenamecolor"">Kgosi Mampuru </span>]"	 'No ']	 'No']		 '012 319 4000']	 '012 328 6546']	 'Cnr Kgosi Mampuru & Klawer Street, Pretoria 001\t']	 '-25.76048; 28.1814\t']
 ' Western Cape']	 'Khayelitsha']	 'Detached Court']	" <span class=""officenamecolor"">Khayelitsha</span>]"	 'Yes ']	 'Yes']		 '021 360 1400 ']	 '021 360 1412 ']	 'c/o Steve Biko & Walter Sisulu Street, Khayelitsha 7784\t']	 'E 18.67645; S -34.04751\t']
 ' Gauteng']		 'Branch Court']	" <span class=""officenamecolor"">Khutsong</span>]"	 'No ']	 'No']		 '018 783 2609']	 '018 783 2938 Police Station']	 '01 Sompane Street, Next to Khutsong Police Station\t']	 '-26.34324; 27.33109\t']
 ' Northern Cape']	 'Kimberley']	 'Magistrate Court']	" <span class=""officenamecolor"">Kimberley</span>]"	 'Yes ']	 'Yes']	 'Yes']	 '053 807 0600 / 073-1133360']	 '053 833 2576/ 832 7404']	 'c/o Knight & Stead Street, Kimberley, 8300\t']	 '-28.73665; 24.76609\t']
 ' Eastern Cape']	 'King William’s Town']	 'Magistrate Court']	" <span class=""officenamecolor"">King William’s Town</span>]"	 'Yes ']	 'Yes']		 '043 642 3548']	 '043 642 1015']	 '117 Alexandra Road, King Williams town 5600\t']	 'E 27.38756; S -32.87222\t']
 ' Eastern Cape']		 'Periodical Court']	" <span class=""officenamecolor"">Kinkelbos</span>]"	 'No ']	 'No']		 'See Alexandria']		 'R72 (N2 from Grahamstown to PE)\t']	 'E 25.87832; S -33.64668\t']
 ' Eastern Cape']	 'Kirkwood']	 'Magistrate Court']	" <span class=""officenamecolor"">Kirkwood</span>]"	 'Yes ']	 'Yes']		 '042 230 0313']	 '042 230 0576']	 'Middle Street, Kirkwood 6120\t']	 'E 25.44367; S -33.39882\t']
 ' Western Cape']		 'Periodical Court']	" <span class=""officenamecolor"">Klawer</span>]"	 'No ']	 'No']		 '027 219 1002']	 '027 219 1563']	 '25 Niewoudt Street, Klawer\t']	 'E 18.62488; S -31.77277\t']
 ' North West']	 'Matlosana']	 'Magistrate Court']	" <span class=""officenamecolor"">Klerksdorp</span>]"	 'Yes ']	 'Yes']	 'Yes']	 '018 464 9200 018 464 9211']	 '018 462 4275']	 '27 OR Tambo Street, Klerksdorp 2570\t']	 '-26.86611; 26.66495\t']
 ' North West']		 'Periodical Court']	" <span class=""officenamecolor"">Klerkskraal</span>]"	 'No ']	 'No']		 '018 264 2036/7']	 '018 264 2404']	 'N14 Krugersdorp and Ventersdorp, Klerkskraal\t']	 '-26.25171; 27.1634\t']
 ' Eastern Cape']	 'Jansenville']	 'Periodical Court']	" <span class=""officenamecolor"">Klipplaat</span>]"	 'No ']	 'Yes (Sessions Only)']		 'See Jansenville']		 'Next to SAPS R338\t']	 'E 24.33273; S -33.02154\t']
 ' Gauteng']	 'Soweto']	 'Branch Court']	" <span class=""officenamecolor"">Kliptown</span>]"	 'No ']	 'Yes (Sessions Only)']		 '011 945 1164']	 '011 945 6381']	 '49 Beacon Road, Kliptown 1812\t']	 '-26.28322; 27.8874\t']
 ' Western Cape']	 'Knysna']	 'Magistrate Court']	" <span class=""officenamecolor"">Knysna</span>]"	 'Yes ']	 'Yes']		 '044 382 1141/ 2/3']	 '044 382 2708']	 '11 Main Street, Knysna 6570\t']	 'E 23.0523; S -34.03638\t']
 ' Free State']	 'Koffiefontein']	 'Magistrate Court']	" <span class=""officenamecolor"">Koffiefontein</span>]"	 'Yes ']	 'Yes']	 'Yes']	 '053 205 0002']	 '053 205 0042']	 '6 Hampden Street, Koffiefontein 9986\t']	 'E 25.00256; S -29.40947\t']
 ' KwaZulu-Natal']	 'Mount Currie']	 'Magistrate Court']	" <span class=""officenamecolor"">Kokstad</span>]"	 'Yes ']	 'Yes']		 '039 727 2010/ 2011']	 '039 727 1642']	 '5 Barker Street, Kokstad 4700\t']	 'E 29.4257; S -30.55084\t']
 ' Mpumalanga']		 'Periodical Court']	" <span class=""officenamecolor"">Komati</span>]"	 'No ']	 'No']		 '013 283 7500']	 '013 282 5377']	 'SAPS Blinkpan\t']	 '-26.09934; 29.45108\t']
 ' Mpumalanga']		 'Periodical Court']	" <span class=""officenamecolor"">Komatipoort</span>]"	 'No ']	 'No']		 '013 712 2104/ 3284/ 3267']	 '013 712 5122']	 '09 Louw Street, near SAPS Komatipoort\t']	 '-25.43561; 31.95529\t']
 ' Eastern Cape']	 'Komga']	 'Magistrate Court']	" <span class=""officenamecolor"">Komga</span>]"	 'Yes ']	 'Yes']		 '043 831 1019']	 '043 831 1281']	 '1 Government Avenue, Komga 4950\t']	 'E 27.89227; S -32.57581\t']
 ' Free State']	 'Koppies']	 'Magistrate Court']	" <span class=""officenamecolor"">Koppies</span>]"	 'Yes ']	 'Yes']		 '056 777 1814']	 '056 777 2578']	 'Church Street, Koppies 9540\t']	 'E 27.57517; S -27.24207\t']
 ' North West']	 'Kgetlengrivier']	 'Magistrate Court']	" <span class=""officenamecolor"">Koster</span>]"	 'Yes ']	 'Yes']		 '014 543 2024/2357']	 '014 543 4880']	 '46 Malan Street, Koster 0348\t']	 '-25.86492; 26.89701\t']
 ' KwaZulu-Natal']	 'Kranskop']	 'Magistrate Court']	" <span class=""officenamecolor"">Kranskop</span>]"	 'Yes ']	 'Yes']		 '033 444 1603']	 '033 444 1330']	 '1 Main Street, Kranskop 3268\t']	 'E 30.86267; S -28.96662\t']
 ' Free State']	 'Kroonstad']	 'Magistrate Court']	" <span class=""officenamecolor"">Kroonstad</span>]"	 'Yes ']	 'Yes']		 '056 212 4161']	 '056 212 6706']	 'Cnr Mark & Murray Street, Kroonstad 9500\t']	 'E 27.2333; S -27.66915\t']
 ' Gauteng']	 'Krugersdorp']	 'Magistrate Court']	" <span class=""officenamecolor"">Krugersdorp</span>]"	 'Yes ']	 'Yes']		 '011 660 3711/3']	 '011 665 5013']	 'cnr  Commissioner and Biccard Streets, Krugersdorp 1739\t']	 '-26.0992; 27.7673\t']
 ' Northern Cape']	 'Kudumane']	 'Magistrate Court']	" <span class=""officenamecolor"">Kudumane</span>]"	 'Yes ']	 'Yes']		 '053 773 1868/ 1869/ 1307/ 1550']	 '053 773 1502/1156']	 '1269 Mothibi Road, Kudumane 8474\t']	 '-27.455252; 23.433864\t']
 ' Western Cape']	 'Kuilsriver']	 'Magistrate Court']	" <span class=""officenamecolor"">Kuilsriver</span>]"	 'Yes ']	 'Yes']		 '021 903 7902']	 'n/a']	 '122 Van Riebeeck Avenue, Kuils River 7580\t']	 'E 18.68291; S -33.93266\t']
 ' Northern Cape']	 'Kuruman']	 'Magistrate Court']	" <span class=""officenamecolor"">Kuruman</span>]"	 'Yes ']	 'Yes']		 '053 712 1081']	 '053 712 2021']	 'Ben Malan Street, Kuruman, 8460\t']	 '-27.45474; 23.43381\t']
 ' Gauteng']		 'Branch Court']	" <span class=""officenamecolor"">Kwa Thema</span>]"	 'No ']	 'No']		 '011 736 4406']	 '011 811 2296']	 'Gobede Street, Kwa Thema 1575\t']	 '-26.27947; 28.3952\t']
 ' Eastern Cape']		 'Branch Court']	" <span class=""officenamecolor"">Kwa-Nobuhle</span>]"	 'No ']	 'No']		 'See Uitenhage']		 'Pononotini Street\t']	 'E 25.39547; S -33.80844\t']
 ' Eastern Cape']		 'Periodical Court']	" <span class=""officenamecolor"">Kwaaiman</span>]"	 'No ']	 'No']		 'See Mqanduli']		 'n/a\t']	 'E 28.9781; S -31.91916\t']
 ' KwaZulu-Natal']	 'Lower Tugela, Maphumulo']	 'Magistrate Court']	" <span class=""officenamecolor"">KwaDukuza</span>]"	 'Yes ']	 'Yes']		 '032 551 1201']	 '032 552 1656']	 '127 King Shaka Street, KwaDukuza\xa0 4450\t']	 'E 31.29045; S -29.338\t']
 ' Mpumalanga']	 'Mkobola']	 'Magistrate Court']	" <span class=""officenamecolor"">Kwaggafontein</span>]"	 'Yes ']	 'Yes']		 '013 986 0131/2']	 '013 986 0598']	 '106C Kwaggafontein, Empumalanga 0458\t']	 '-25.31087; 28.94654\t']
 ' KwaZulu-Natal']		 'Branch Court']	" <span class=""officenamecolor"">KwaMashu</span>]"	 'No ']	 'No']		 'See Ntuzuma BC']	 'See Ntuzuma BC']	 '1137 Ntombela Road, KwaMashu\t']	 'E 31.00065; S -29.73654\t']
 ' Mpumalanga']	 'KwaMhlanga']	 'Magistrate Court']	" <span class=""officenamecolor"">KwaMhlanga</span>]"	 'Yes ']	 'Yes']		 '013 947 2363/4']	 '013 947 3490']	 'Nr 37 Section BA, Kwamhlanga 1022\t']	 '-25.43336; 28.71456\t']
 ' KwaZulu-Natal']		 'Branch Court']	" <span class=""officenamecolor"">KwaMsane</span>]"	 'No ']	 'No']		 '035 551 1060/1832/1833']	 '035 551 1467']	 'Mfundo Street, KwamSane, Mtubatuba 3935\t']	 'E 32.13836; S -28.43328\t']
 ' KwaZulu-Natal']		 'Periodical Court']	" <span class=""officenamecolor"">Kwambonambi</span>]"	 'No ']	 'No']		 '035 772 1711/2/3']	 '035 792 2527']	 'Main Street, Kwanbonambi\t']	 'E 32.08577; S -28.59909\t']
 ' KwaZulu-Natal']	 'Ingwavuma']	 'Periodical Court']	" <span class=""officenamecolor"">Kwangwanase</span>]"	 'No ']	 'Yes (Sessions Only)']		 '035 592 0119']	 '035 592 0493']	 'Main Road, Kwangwanase 3973\t']	 'E 32.74402; S -26.99695\t']
 ' Western Cape']		 'Branch Court']	" <span class=""officenamecolor"">Laaiplek</span>]"	 'No ']	 'No']		 '022 783 0090']	 '022 783 0829']	 'c/o Jameson & Van Zyl Street, Laaiplek 7365\t']	 'E 18.15675; S -32.77114\t']
 ' Western Cape']	 'Ladismith']	 'Magistrate Court']	" <span class=""officenamecolor"">Ladismith</span>]"	 'Yes ']	 'Yes']		 '028 551 1009/ 1019']	 '028 551 1168']	 '57 Queen Street, Ladismith 6655\t']	 'E 21.26777; S -33.49465\t']
 ' Eastern Cape']	 'Glen Grey']	 'Magistrate Court']	" <span class=""officenamecolor"">Lady Frere</span>]"	 'Yes ']	 'Yes']		 '047 878 0011']	 '047 878 0017']	 '40 Indwe Road, Lady Frere 5410\t']	 'E 27.23713; S -31.70163\t']
 ' Eastern Cape']	 'Lady Grey']	 'Magistrate Court']	" <span class=""officenamecolor"">Lady Grey</span>]"	 'Yes ']	 'Yes']		 '051 603 0024']	 '051 603 3019']	 '19 Martin Street, Lady Grey 9755\t']	 'E 27.21533; S -30.71058\t']
